Préstamos
Intervalo Principal pendiente
Hipotecarios
(Euros) (en euros) % nº %
2.818,77 - 49.999,99 21.215.310,11 1,52% 594 5,66%
50.000,00 - 99.999,99 269.779.232,34 19,37% 3.415 32,52%
100.000,00 - 149.999,99 419.577.813,47 30,13% 3.405 32,42%
150.000,00 - 199.999,99 292.519.054,09 21,01% 1.710 16,28%
200.000,00 - 249.999,99 149.523.874,38 10,74% 676 6,44%
250.000,00 - 299.999,99 81.103.596,55 5,82% 298 2,84%
300.000,00 - 349.999,99 50.463.027,47 3,62% 157 1,49%
350.000,00 - 399.999,99 32.205.608,52 2,31% 86 0,82%
400.000,00 - 449.999,99 29.235.328,10 2,10% 69 0,66%
450.000,00 - 499.999,99 19.313.407,39 1,39% 41 0,39%
500.000,00 - 549.999,99 16.790.541,62 1,21% 32 0,30%
550.000,00 - 599.949,52 10.860.404,39 0,78% 19 0,18%
Totales: 1.392.587.198,43 100,00 10.502 100,00
