Préstamos Asociados
Intervalo Importes con Hipoteca de
Segundo rango
(euros) (en euros) % nº %
10.960,00 -19.999,99 168.263,36 2,47% 12 7,89%
20.000,00 - 29.999,99 185.238,82 2,72% 8 5,26%
30.000,00 - 39.999,99 406.761,11 5,98% 12 7,89%
40.000,00 - 49.999,99 3.337.638,53 49,06% 75 49,34%
50.000,00 - 59.999,99 1.532.621,82 22,53% 28 18,42%
60.000,00 - 69.999,99 830.802,99 12,21% 13 8,55%
70.000,00 - 79.999,99 79.330,00 1,17% 1 0,66%
80.000,00 - 89.999,99 167.539,79 2,46% 2 1,32%
90.000,00 - 93.190,00 94.704,66 1,39% 1 0,66%
Totales: 6.802.901,08 100,00% 152 100,00%
