Préstamos
Asociados con
Intervalo Principal pendiente
Hipoteca de
Segundo Rango
(euros) (en euros) % nº %
10.324,95 - 19.999,99 187.476,47 2,76% 13 2,76%
20.000,00 - 29.999,99 194.832,02 2,86% 8 2,86%
30.000,00 - 39.999,99 377.954,80 5,56% 11 5,56%
40.000,00 - 49.999,99 3.337.638,53 49,06% 75 49,06%
50.000,00 - 59.999,99 1.471.422,60 21,63% 27 21,63%
60.000,00 - 69.999,99 892.002,21 13,11% 14 13,11%
70.000,00 - 79.999,99 79.330,00 1,17% 1 1,17%
80.000,00 - 89.999,99 167.539,79 2,46% 2 2,46%
90.000,00 - 94.704,66 94.704,66 1,39% 1 1,39%
Totales: 6.802.901,08 100,00% 152 100,00%
