TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS HIPOTECARIOS
Préstamos
Intervalo Principal pendiente
Hipotecarios
(miles de euros salvo el
(%) total en euros) % nº %
2,00 - 2,49 997.558,76 0,07% 6 0,06%
2,50 - 2,99 73.937.314,88 5,31% 473 4,50%
3,00 - 3,49 206.664.536,96 14,84% 1.290 12,28%
3,50 - 3,99 629.946.351,01 45,24% 4.645 44,23%
4,00 - 4,49 228.959.879,86 16,44% 1.879 17,89%
4,50 - 4,99 205.574.415,07 14,76% 1.785 17,00%
5,00 - 5,49 21.299.764,61 1,53% 192 1,83%
5,50 - 5,99 22.108.988,51 1,59% 206 1,96%
6,00 - 6,49 1.833.711,31 0,13% 16 0,15%
6,50 - 6,99 392.673,65 0,03% 3 0,03%
7,00 - 7,49 252.358,80 0,02% 2 0,02%
7,50 - 7,99 578.496,64 0,04% 4 0,04%
8,00 - 8,49 0 - 0 -
8,50 - 8,99 0 - 0 -
9,00 - 9,49 0 - 0 -
9,50 - 9,75 41.148,37 0,00% 1 0,01%
Totales: 1.392.587.198,43 100,00 10.502 100,00
