RELACIÓN ENTRE PRINCIPAL PENDIENTE Y VALOR DE TASACIÓN
Préstamos
Intervalo Principal pendiente
Hipotecarios
(%) (en euros) % nº %
1,05 - 9,99 391.038,40 0,03% 19 0,18%
10,00 - 19,99 5.573.437,82 0,40% 133 1,27%
20,00 - 29,99 19.670.271,31 1,41% 282 2,69%
30,00 - 39,99 55.590.523,14 3,99% 601 5,72%
40,00 - 49,99 92.682.184,43 6,66% 716 6,82%
50,00 - 59,99 149.684.671,21 10,75% 964 9,18%
60,00 - 69,99 187.869.772,07 13,49% 1.108 10,55%
70,00 - 79,99 780.924.924,52 56,08% 5.925 56,42%
80,00 - 89,99 98.425.738,41 7,07% 742 7,07%
90,00 - 99,96 1.774.637,12 0,13% 12 0,11%
Totales: 1.392.587.198,43 100,00% 10.502 100,00%
