PRINCIPAL PENDIENTE DE LOS PRÉSTAMOS ASOCIADOS NO HIPOTECARIOS DESGLOSADOS POR
PROVINCIAS
Préstamos Asociados
Provincias Principal pendiente
No Hipotecarios
(en euros) % nº %
ALBACETE 350.756,70 0,44% 22 0,59%
ALICANTE 5.349.243,22 6,70% 308 8,24%
ALMERÍA 1.993.937,13 2,50% 109 2,91%
ASTURIAS 2.690.537,63 3,37% 172 4,60%
ÁVILA 45.375,12 0,06% 3 0,08%
BADAJOZ 431.352,40 0,54% 27 0,72%
BALEARES 5.738.350,32 7,18% 220 5,88%
BARCELONA 6.435.957,51 8,06% 211 5,64%
BURGOS 113.351,85 0,14% 5 0,13%
CÁCERES 252.133,23 0,32% 16 0,43%
CÁDIZ 1.754.889,39 2,20% 93 2,49%
CANTABRIA 981.608,20 1,23% 46 1,23%
CASTELLÓN 1.830.234,77 2,29% 100 2,67%
CIUDAD REAL 322.011,62 0,40% 24 0,64%
CÓRDOBA 1.712.873,80 2,14% 78 2,09%
CUENCA 37.323,49 0,05% 3 0,08%
GIRONA 2.500.742,18 3,13% 109 2,91%
GRANADA 2.103.293,39 2,63% 103 2,75%
GUADALAJARA 599.394,11 0,75% 20 0,53%
GUIPÚZCOA 256.005,31 0,32% 10 0,27%
HUELVA 983.139,04 1,23% 58 1,55%
HUESCA 261.727,19 0,33% 19 0,51%
JAÉN 743.697,25 0,93% 45 1,20%
LA CORUÑA 1.965.536,28 2,46% 116 3,10%
LA RIOJA 70.246,02 0,09% 3 0,08%
LAS PALMAS 5.383.798,43 6,74% 243 6,50%
LEÓN 311.108,33 0,39% 19 0,51%
LÉRIDA 643.554,14 0,81% 46 1,23%
LUGO 146.003,29 0,18% 13 0,35%
MADRID 9.205.675,59 11,52% 289 7,73%
MÁLAGA 3.824.519,37 4,79% 158 4,22%
MURCIA 2.082.280,75 2,61% 122 3,26%
NAVARRA 298.706,22 0,37% 14 0,37%
ORENSE 343.390,87 0,43% 19 0,51%
PALENCIA 55.081,40 0,07% 5 0,13%
PONTEVEDRA 1.198.786,86 1,50% 60 1,60%
SALAMANCA 253.335,51 0,32% 18 0,48%
SEGOVIA 124.854,45 0,16% 8 0,21%
SEVILLA 3.214.370,57 4,02% 160 4,28%
TARRAGONA 1.811.381,47 2,27% 82 2,19%
TENERIFE 3.280.467,95 4,11% 161 4,30%
TERUEL 8.357,31 0,01% 2 0,05%
TOLEDO 2.593.856,86 3,25% 112 2,99%
VALENCIA 3.149.955,28 3,94% 177 4,73%
VALLADOLID 407.553,77 0,51% 27 0,72%
VIZCAYA 1.405.633,71 1,76% 51 1,36%
ZAMORA 99.671,59 0,12% 6 0,16%
ZARAGOZA 521.071,74 0,65% 28 0,75%
Totales: 79.887.132,61 100,00% 3.740 100,00%
