Préstamos Asociados
Intervalo Importes
No Hipotecarios
(euros) (en euros) % nº %
750,00 - 9.999,99 3.671.052,35 4,60% 557 14,89%
10.000,00 - 19.999,99 19.150.161,82 23,97% 1251 33,45%
20.000,00 - 29.999,99 28.535.124,80 35,72% 1179 31,52%
30.000,00 - 39.999,99 18.743.601,92 23,46% 547 14,63%
40.000,00 - 49.999,99 6.369.924,08 7,97% 146 3,90%
50.000,00 - 59.999,99 2.590.120,07 3,24% 48 1,28%
60.000,00 - 69.999,99 485.246,63 0,61% 8 0,21%
70.000,00 - 79.999,99 150.821,36 0,19% 2 0,05%
80.000,00 - 89.999,99 86.097,04 0,11% 1 0,03%
90.000,00 - 99.999,99 0 0% 0 0%
100.000,00 - 108.000,00 104.982,54 0,13% 1 0,03%
Totales: 79.887.132,61 100,00 3.740 100,00
