TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS ASOCIADOS NO
HIPOTECARIOS
Préstamos
Intervalo Principal pendiente Asociados No
Hipotecarios
(miles de euros salvo el
(%) total en euros) % nº %
2,00 - 2,49 22.342,79 0,03% 1 0,03%
2,50 - 2,99 382.811,51 0,48% 12 0,32%
3,00 - 3,49 218.562,88 0,27% 7 0,19%
3,50 - 3,99 580.648,97 0,73% 23 0,61%
4,00 - 4,49 827.127,18 1,04% 33 0,88%
4,50 - 4,99 2.351.484,84 2,94% 92 2,46%
5,00 - 5,49 4.924.135,33 6,16% 200 5,35%
5,50 - 5,99 10.972.228,68 13,73% 453 12,11%
6,00 - 6,49 15.849.358,00 19,84% 701 18,74%
6,50 - 6,99 18.311.870,05 22,92% 806 21,55%
7,00 - 7,49 17.068.376,14 21,37% 889 23,77%
7,50 - 7,99 6.629.151,83 8,30% 406 10,86%
8,00 - 8,49 1.317.000,36 1,65% 85 2,27%
8,50 - 8,99 283.653,16 0,36% 19 0,51%
9,00 - 9,49 105.720,87 0,13% 8 0,21%
9,50 - 9,99 0 - 0 -
10,00 - 10,49 12.150,00 0,02% 1 0,03%
10,50 - 11,00 30.510,02 0,04% 4 0,11%
Totales: 79.887.132,61 100,00% 3.740 100,00%
