TIPOS DE INTERÉS ACTUALES DE
LOS PRÉSTAMOS ASOCIADOS CON HIPOTECA DE SEGUNDO RANGO
Préstamos
Asociados con
Intervalo Principal pendiente
Hipoteca de
Segundo Rango
(miles de euros salvo el
(%) total en euros) % nº %
2,95 - 2,99 25.718,37 0,38% 2 1,32%
3,00 - 3,49 407.886,41 6,00% 13 8,55%
3,50 - 3,99 1.201.738,22 17,67% 28 18,42%
4,00 - 4,49 760.243,14 11,18% 18 11,84%
4,50 - 4,99 1.325.591,04 19,49% 29 19,08%
5,00 - 5,49 903.430,53 13,28% 18 11,84%
5,50 - 5,99 1.188.651,22 17,47% 24 15,79%
6,00 - 6,49 582.709,77 8,57% 11 7,24%
6,50 - 6,99 266.572,38 3,92% 6 3,95%
7,00 - 7,49 140.360,00 2,06% 3 1,97%
Totales: 6.802.901,08 100,00% 152 100,00%
