laborado con datos a 7/02/2008
CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 30
(División por tipo de referencia y margen)

TIPO
VENCIMIENTO VENCIMIENTO TIPO ACTUAL
DIFERENCIAL
TIPO REFERENCIA SALDO INICIAL RESIDUAL PONDERADO
SALDO ACTUAL PONDERADO Min. TIPO Máx. TIPO
NUM ACTUAL PONDERADO PONDERADO POR SALDO
(euros) POR SALDO ACTUAL (%) ACTUAL (%)
MARGEN (%) (%) POR SALDO POR SALDO ACTUAL
ACTUAL
INICIAL (meses) ACTUAL (meses) (%)
(%)
EURIBOR 12 MESES 2.867 3 72.291.750,40 90,74 340,25 318,67 5,32 0,830 3,550 6,500
0,00 - 0,25 2 3 98.206,21 0,11 354,05 315,09 4,61 0,000 4,607 4,607
0,25 - 0,50 29 4 .985.760,56 1,34 364,24 348,17 5,06 0,460 4,400 5,215
0,50 - 0,75 758 1 14.785.071,09 30,83 376,83 359,86 5,16 0,620 3,550 5,457
0,75 - 1,00 1.102 1 44.482.707,66 38,81 344,15 322,93 5,28 0,780 3,550 5,675
1,00 - 1,25 549 6 1.310.939,79 16,47 287,47 260,59 5,54 1,000 3,550 5,875
1,25 - 1,50 343 3 8.246.733,41 10,27 316,67 292,83 5,44 1,250 3,550 6,004
1,50 - 1,75 73 7 .193.190,55 1,93 249,88 206,74 5,95 1,500 4,750 6,250
1,75 - 2,00 9 7 56.748,81 0,20 248,85 183,84 6,38 1,750 6,000 6,500
2,00 - 2,25 2 1 32.392,32 0,04 121,00 72,60 6,23 2,000 6,064 6,500
EURIBOR 6 MESES 14 1 .757.117,09 0,43 282,64 235,94 5,71 1,040 5,105 6,500
0,50 - 0,75 2 2 28.670,79 13,01 399,97 387,32 5,14 0,630 5,105 5,155
0,75 - 1,00 5 5 12.231,28 29,15 308,19 260,19 5,44 0,760 5,216 5,514
1,00 - 1,25 2 3 38.191,03 19,25 192,34 141,11 5,71 1,000 5,709 5,738
1,25 - 1,50 3 4 56.743,78 25,99 282,28 235,04 5,94 1,250 5,616 6,014
1,75 - 2,00 2 2 21.280,21 12,59 241,00 170,14 6,46 1,750 6,416 6,500
EURIBOR 3 MESES 131 1 8.649.450,45 4,55 373,19 352,68 5,04 0,340 4,607 5,440
0,00 - 0,25 35 5 .283.795,32 28,33 357,50 337,51 4,69 0,000 4,607 4,776
0,25 - 0,50 32 6 .544.992,87 35,09 434,80 422,70 5,11 0,390 5,007 5,176
0,50 - 0,75 56 6 .144.480,00 32,95 332,29 302,85 5,22 0,520 5,107 5,376
0,75 - 1,00 8 6 76.182,26 3,63 271,26 246,34 5,40 0,750 5,357 5,440
IRPH ENTIDADES 140 1 7.028.297,00 4,15 303,11 281,80 5,68 0,360 4,766 6,422
0,00 - 0,25 12 1 .300.734,88 7,64 330,42 298,57 5,38 0,120 4,766 5,735
0,25 - 0,50 86 1 0.750.990,66 63,14 317,06 297,62 5,62 0,280 5,000 6,035
0,50 - 0,75 33 3 .987.531,40 23,42 263,44 241,68 5,86 0,530 5,253 6,085
0,75 - 1,00 7 5 85.427,86 3,44 281,71 259,13 6,12 0,780 5,725 6,335
1,00 - 1,25 2 4 03.612,20 2,37 266,52 235,59 5,74 1,000 5,373 6,422
MIBOR 12 MESES 9 5 46.309,53 0,13 257,80 138,54 5,86 1,260 5,052 6,600
0,75 - 1,00 2 1 23.658,44 22,64 272,97 155,11 5,50 0,750 5,500 5,500
1,00 - 1,25 2 1 08.088,99 19,79 269,73 153,08 5,39 1,000 5,052 5,750
1,25 - 1,50 2 1 35.903,38 24,88 265,72 148,31 5,98 1,250 5,975 6,000
1,75 - 2,00 3 1 78.658,72 32,70 234,06 110,83 6,29 1,780 6,000 6,600
TOTALES 3.161 410.272.924,47 100 339,85 318,09 5,32 3,550 6,600
62
