Elaborado con datos a 7/02/2008,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 30
(División por vencimiento residual)
,
,VENCIMIENTO
TIPO ACTUAL
VENCIMIENTO VENCIMIENTO INICIAL RESIDUAL
SALDO ACTUAL SALDO PONDERADO POR Min. TIPO Máx. TIPO
RESIDUAL NUM PONDERADO POR PONDERADO POR
(euros) ACTUAL (%) SALDO ACTUAL ACTUAL (%) ACTUAL (%)
(meses) SALDO INICIAL (meses) SALDO ACTUAL
(%)
(meses)
,0,00 - 12,00 1 3 - 0,00 40,23 0,00 3,61 3,550 3,950
24,00 - 36,00 1 50.773,39 0,01 121,00 30,00 6,01 6,005 6,005
36,00 - 48,00 1 75.510,55 0,02 145,00 41,00 6,00 6,004 6,004
48,00 - 60,00 7 465.630,65 0,11 93,39 53,75 5,74 5,155 6,500
60,00 - 72,00 1 3 871.549,18 0,21 106,40 66,54 5,52 4,671 6,600
72,00 - 84,00 1 6 1.324.236,47 0,32 114,66 79,22 5,55 5,000 6,147
84,00 - 96,00 3 2 2.788.942,58 0,68 127,80 91,17 5,61 5,190 6,500
96,00 - 108,00 5 6 4.383.738,59 1,07 132,92 101,79 5,51 4,800 6,250
108,00 - 120,00 4 1 3.939.089,45 0,96 137,98 112,99 5,42 4,607 6,166
120,00 - 132,00 2 6 2.285.634,56 0,56 172,16 125,26 5,50 4,946 6,107
132,00 - 144,00 4 3 4.373.833,70 1,07 170,57 137,69 5,39 4,571 6,416
144,00 - 156,00 6 5 5.818.856,89 1,42 184,60 150,68 5,49 4,549 6,250
156,00 - 168,00 9 6 8.953.778,43 2,18 186,56 161,44 5,44 4,571 6,500
168,00 - 180,00 8 0 8.767.790,90 2,14 198,53 172,17 5,39 4,650 6,500
180,00 - 192,00 5 7 5.180.105,63 1,26 219,96 185,37 5,50 3,950 6,397
192,00 - 204,00 6 2 5.677.534,07 1,38 234,76 197,80 5,47 4,664 6,107
204,00 - 216,00 1 00 11.163.067,02 2,72 241,71 210,69 5,42 4,671 6,250
216,00 - 228,00 1 60 17.159.888,77 4,18 245,03 221,68 5,47 4,607 6,314
228,00 - 240,00 1 32 15.702.474,03 3,83 253,41 232,43 5,37 4,500 6,357
240,00 - 252,00 5 6 6.671.408,83 1,63 279,57 246,16 5,47 4,776 6,225
252,00 - 264,00 8 5 10.339.056,56 2,52 293,12 258,02 5,37 4,671 6,225
264,00 - 276,00 1 10 13.009.993,08 3,17 301,24 270,45 5,36 4,450 6,085
276,00 - 288,00 1 70 20.930.683,15 5,10 304,86 281,81 5,43 4,571 6,422
288,00 - 300,00 1 40 20.337.793,69 4,96 307,68 291,63 5,37 4,549 6,147
300,00 - 312,00 4 6 5.643.794,53 1,38 340,62 305,40 5,32 4,494 5,975
312,00 - 324,00 9 6 11.515.907,88 2,81 351,14 317,66 5,23 4,500 6,166
324,00 - 336,00 2 34 31.588.683,09 7,70 358,55 330,41 5,26 4,564 6,166
336,00 - 348,00 2 91 40.069.805,84 9,77 360,47 342,07 5,38 4,500 6,226
348,00 - 360,00 2 67 38.673.488,55 9,43 361,72 350,93 5,24 4,300 6,147
360,00 - 372,00 1 2 1.974.877,69 0,48 381,43 363,40 5,18 4,650 5,672
372,00 - 384,00 3 670.464,50 0,16 390,09 374,85 5,39 5,366 5,475
384,00 - 396,00 1 8 3.614.528,85 0,88 410,57 390,92 5,26 4,600 5,847
396,00 - 408,00 8 6 13.155.845,32 3,21 420,42 402,67 5,28 4,151 5,725
408,00 - 420,00 1 15 19.686.921,75 4,80 421,58 411,03 5,20 4,500 6,064
420,00 - 432,00 1 0 1.712.386,56 0,42 439,26 425,54 5,28 4,750 5,916
432,00 - 444,00 6 1.047.730,63 0,26 454,08 436,88 5,12 4,700 5,307
444,00 - 456,00 3 5 5.936.865,68 1,45 474,10 451,19 5,25 3,550 5,976
456,00 - 468,00 2 15 35.383.623,72 8,62 480,75 462,60 5,20 3,550 5,835
468,00 - 480,00 1 65 29.326.629,71 7,15 480,91 470,43 5,13 4,360 5,647
,TOTALES 3 .161 410.272.924,47 100 339,85 318,09 (*) 5,32 3,550 6,600
(*) Agosto 2034 aprox.
59,
