Elabor,,
,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 30
(División por fecha de formalización),
,,
,VENCIMIENTO VENCIMIENTO TIPO ACTUAL
FECHA DE SALDO INICIAL RESIDUAL PONDERADO
SALDO ACTUAL Min. TIPO Máx. TIPO
FORMALIZACION NUM ACTUAL PONDERADO PONDERADO POR SALDO
(euros) ACTUAL (%) ACTUAL (%)
(año) (%) POR SALDO POR SALDO ACTUAL
INICIAL (meses) ACTUAL (meses) (%),
,1997 4 244.527,98 0,06 278,72 152,12 5,95 5,500 6,250
1998 5 301.781,55 0,07 240,85 127,53 5,78 5,052 6,600
1999 1 3 929.304,79 0,23 283,53 181,25 5,82 5,475 6,225
2000 2 8 2.324.827,47 0,57 274,82 182,95 5,60 4,921 6,500
2001 4 9 4.147.338,62 1,01 278,05 199,08 5,59 4,800 6,500
2002 6 8 5.468.287,38 1,33 274,78 207,54 5,62 4,844 6,500
2003 1 09 10.133.825,17 2,47 288,63 234,05 5,48 3,950 6,475
2004 2 29 23.324.823,27 5,69 295,32 252,57 5,27 4,671 6,416
2005 5 54 66.425.988,05 16,19 312,57 282,51 5,33 3,550 6,422
2006 1 .127 151.190.442,26 36,85 351,50 332,79 5,36 3,550 6,335
2007 975 145.781.777,93 35,53 356,79 346,62 5,25 4,151 6,225,
,TOTALES 3.161 410.272.924,47 100,00 339,85 318,09 5,32 3,550 6,600,
58,,
