,BALANCE (miles €),,,,,,,,,,
Activo total,,,8.915.087,,,8.854.619,,,8.191.176,,
Créditos sobre clientes (bruto),,,7.735.506,,,7.856.702,,,6.808.809,,
Recursos de clientes en balance,,,6.365.717,,,6.465.384,,,5.827.379,,
Otros recursos de clientes,,,2.895.821,,,2.808.796,,,2.561.732,,
Total recursos de clientes,,,9.261.538,,,9.274.180,,,8.389.111,,
Patrimonio neto,,,635.475,,,628.156,,,595.990,,
Fondos propios,,,636.088,,,628.833,,,594.023,,
,CUENTA DE RESULTADOS (miles €),,,,,,,,,,
Margen de intermediación,,,162.654,,,120.400,,,137.706,,
Margen ordinario,,,232.808,,,172.067,,,201.982,,
Margen de explotación,,,98.020,,,71.951,,,82.095,,
Beneficio antes de impuestos,,,59.264,,,49.144,,,56.650,,
Beneficio atribuido al Grupo,,,42.065,,,34.889,,,34.712,,
,RATIOS RELEVANTES %,,,,,,,,,,
Margen de explotación /ATM,,,1,13,,,1,13,,,1,1,,
ROE (Bº atribuido / Fondos propios medios),,,7,08,,,7,14,,,6,26,,
ROA (Bº neto / Activos totales medios),,,0,48,,,0,48,,,0.47,,
Ratio de Eficiencia,,,59%,,,59%,,,61%,,
Tasa de Morosidad,,,0,46,,,0,42,,,0.32,,
Tasa de Cobertura,,,444,82,,,445,36,,,572,97,,
,Información adicional,,,,,,,,,,
Número de acciones (miles),,,971.951,,,971.951,,,971.951,,
