,DESGLOSE POR TIPO DE INTERÉS DE REFERENCIA,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Tipo de Referencia,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,VPO - MINISTERIO FOMENTO,,,,,,,,,,,,,
,1992-1995,,,8.814.604,06,,,1,94%,,,510,,,5,58%,
,VPO - MINISTERIO FOMENTO,,,,,,,,,,,,,
,1996-1999,,,20.760.796,38,,,4,57%,,,987,,,10,80%,
,VPO - MINISTERIO FOMENTO,,,,,,,,,,,,,
,1998-2001,,,118.341.278,49,,,26,02%,,,3.083,,,33,73%,
,VPO - MINISTERIO FOMENTO,,,,,,,,,,,,,
,2002-2005,,,284.194.500,15,,,62,49%,,,4.330,,,47,37%,
,VPO - MINISTERIO FOMENTO,,,,,,,,,,,,,
,2005-2008,,,22.660.583,62,,,4,98%,,,230,,,2,52%,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,1 00,00%,,,9.140,,,100,00%,
