,DESGLOSE POR INTERVALO DE SALDO INICIAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Importe concedido,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,10000-20000,,,387.129,55,,,0,09%,,,30,,,0,33%,
,20000-30000,,,1.655.096,54,,,0,36%,,,109,,,1,19%,
,30000-40000,,,12.529.404,84,,,2,76%,,,575,,,6,29%,
,40000-50000,,,48.257.038,70,,,10,61%,,,1.695,,,18,54%,
,50000-60000,,,69.064.692,53,,,15,19%,,,1.898,,,20,77%,
,60000-70000,,,49.090.640,24,,,10,79%,,,1.067,,,11,67%,
,70000-80000,,,66.970.488,94,,,14,73%,,,1.160,,,12,69%,
,80000-90000,,,70.496.911,76,,,15,50%,,,1.033,,,11,30%,
,90000-100000,,,51.505.929,54,,,11,33%,,,681,,,7,45%,
,100000-110000,,,34.276.842,74,,,7,54%,,,401,,,4,39%,
,110000-120000,,,25.602.453,70,,,5,63%,,,279,,,3,05%,
,120000-130000,,,14.164.213,64,,,3,11%,,,133,,,1,46%,
,130000-140000,,,6.554.771,75,,,1,44%,,,53,,,0,58%,
,140000-150000,,,1.572.171,30,,,0,35%,,,12,,,0,13%,
,150000-160000,,,228.162,38,,,0,05%,,,2,,,0,02%,
,170000-180000,,,1.648.851,00,,,0,36%,,,10,,,0,11%,
,210000-220000,,,202.980,61,,,0,04%,,,1,,,0,01%,
,660000-670000,,,563.982,94,,,0,12%,,,1,,,0,01%,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,100,00%,,,9.140,,,100,00%,
,,,,,,,,,,,,,,
,Importe (€) Máximo,,,668.228,92,,,,,,,,,,
,Importe (€) Mínimo,,,12.621,25,,,,,,,,,,
,Importe (€) Medio,,,67.254,32,,,,,,,,,,
