Importes en millones de euros,,,,31.03.2009,,,31.12.2008,,,31.12.2007,
,BALANCE,,,,,,,,,,
Activos Totales,,,68.201,,,63.627,,,68.201,,
Activos Totales extitulización,,,54.202,,,49.212,,,60.232,,
Crédito a la Clientela Bruto,,,50.157,,,51.595,,,51.478,,
Crédito a la Clientela Bruto extitulización,,,37.320,,,37.975,,,43.846,,
Recursos Gestionados,,,55.029,,,52.510,,,56.095,,
Recursos Ajenos en Balance,,,50.564,,,48.195,,,50.450,,
Otros Recursos Gestionados (1),,,4.465,,,4.314,,,5.644,,
Volumen de Negocio,,,105.845,,,104.781,,,108.357,,
Volumen de Negocio extitulización,,,78.763,,,76.458,,,92.120,,
Recursos Propios (2),,,4.105,,,4.170,,,4.399,,
,,,,,,,,,,,
,CUENTA DE RESULTADOS,,,,,,,,,,
Margen de intereses,,,229,,,897,,,855,,
Margen básico,,,303,,,1.227,,,1.257,,
Margen Bruto,,,327,,,1.308,,,1.335,,
Resultado Actividad de Explotación,,,35,,,-197,,,285,,
Resultado antes de Impuestos,,,54,,,205,,,594,,
Resultado después de Impuestos,,,44,,,185,,,493,,
Resultado Neto atribuido al Grupo,,,46,,,194,,,488,,
,,,,,,,,,,,
,RATIOS,,,,,,,,,,
Índice de Morosidad,,,5,67%,,,5,44%,,,1,09%,,
Índice de Cobertura de la Morosidad,,,51,84%,,,56,76%,,,150,11%,,
Índice de Morosidad de la cartera hipotecaria,,,5,78%,,,4,50%,,,2,06%,,
Ratio de Eficiencia (3),,,52,61%,,,37,37%,,,47,94%,,
Ratio de Solvencia (4),,,10,10%,,,10,15%,,,9,55%,,
Tier 1 BIS II,,,6,46%,,,6,35%,,,5,52%,,
Tier 2 BIS II,,,3,64%,,,3,81%,,,4,03%,,
Fondos Propios Básicos,,,2.728,,,2.724,,,2.624,,
Fondos Propios Segunda Categoria,,,1.581,,,1.679,,,1.942,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,OFICINAS Y EMPLEADOS,,,,,,,,,,
Oficinas (5),,,1.204,,,1.203,,,1.192,,
Empleados (5),,,7.409,,,7.419,,,7.366,,
