Importes en millones de euros,,,,31.03.2009,,,31.12.2008,,,31.12.2007,
,BALANCE,,,,,,,,,,
Activos Totales,,,6.652,,,6.600,,,6.005,,
Activos Totales extitulización,,,6.652,,,6600,,,6.005,,
Crédito a la Clientela Bruto,,,4.654,,,4.645,,,4.383,,
Crédito a la Clientela Bruto extitulización,,,4.654,,,4.645,,,4.383,,
Recursos Gestionados,,,6.603,,,6.459,,,6.428,,
Recursos Ajenos en Balance,,,5.326,,,5.269,,,4.738,,
Otros Recursos Gestionados (1),,,1.277,,,1,19,,,1,69,,
Volumen de Negocio,,,90,,,361,,,283,,
Volumen de Negocio extitulización,,,90,,,361,,,283,,
Recursos Propios,,,339,,,333,,,317,,
,,,,,,,,,,,
,CUENTA DE RESULTADOS,,,,,,,,,,
Margen de intereses,,,28,,,90,,,82,,
Margen bruto,,,36,,,124,,,140,,
Resultado actividad de la explotación,,,8,,,36,,,54,,
Resultado antes de impuestos,,,8,,,35,,,54,,
Resultado después de impuestos,,,6,,,26,,,41,,
Resultado neto atribuido al Grupo,,,6,,,26,,,41,,
,,,,,,,,,,,
,,,,,,,,,,,
,RATIOS,,,,,,,,,,
Índice de Morosidad,,,2,60%,,,1,82%,,,0,82%,,
Índice de Cobertura de la Morosidad,,,72,18%,,,96,54%,,,219,94%,,
Índice de Morosidad de la cartera hipotecaria,,,2,37%,,,1,62%,,,0,48%,,
Ratio de Eficiencia (2),,,52,77,,,59,76%,,,51,16%,,
Ratio de Eficiencia Estricto (3),,,52,3,,,60,38%,,,52,72%,,
Coeficiente de Solvencia,,,11,45%,,,11,45%,,,11,31%,,
Fondos Propios Básicos,,,330,,,330,,,303,,
Fondos Propios Estables (4),,,300,,,300,,,273,,
,,,,,,,,,,,
OFICINAS Y EMPLEADOS,,,,,,,,,,,
Oficinas (5),,,155,,,156,,,155,,
Empleados (5),,,830,,,835,,,826,,
