,DESGLOSE POR PORCENTAJE DE SUBVENCIÓN (PLAN 2002-2005),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Subsidiación de la,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Cuota,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Sin Subsidiación,,,51.588.999,83,,,11,34%,,,812,,,8,88%,
,5-10,,,17.569.536,12,,,3,86%,,,249,,,2,72%,
,10-15,,,45.586.145,20,,,10,02%,,,628,,,6,87%,
,15-20,,,84.816.342,27,,,18,65%,,,1.242,,,13,59%,
,20-25,,,63.911.279,51,,,14,05%,,,1.065,,,11,65%,
,25-30,,,2.459.470,80,,,0,54%,,,34,,,0,37%,
,30-35,,,11.074.673,27,,,2,44%,,,181,,,1,98%,
,35-40,,,107.544,10,,,0,02%,,,2,,,0,02%,
,40-45,,,6.312.972,97,,,1,39%,,,113,,,1,24%,
,45-50,,,767.536,08,,,0,17%,,,4,,,0,04%,
,,,,,,,,,,,,,,
,Totales,,,284.194.500,15,,,62,49%,,,4.330,,,47,37%,
