,DESGLOSE POR TIPO DE AYUDA,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Subsidiación de la Cuota,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,Sin ninguna ayuda directa,,,130.923.984,28,,,28,79%,,,3.614,,,39,54%,
,Sólo con subvención de cuota,,,,,,,,,,,,,
,,,,68.702.798,64,,,15,11%,,,1.542,,,16,87%,
,Sólo con AEDE,,,52.047.402,61,,,11,44%,,,904,,,9,89%,
,Con Subvención y AEDE,,,203.097.577,17,,,44,66%,,,3.080,,,33,70%,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,100,00%,,,9.140,,,100,00%,
