,DESGLOSE POR AÑO DE CONCESION,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Año de concesión,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,1993,,,10.901,17,,,0,00%,,,1,,,0,01%,
,1994,,,26.043,01,,,0,01%,,,3,,,0,03%,
,1995,,,514.409,79,,,0,11%,,,59,,,0,65%,
,1996,,,3.422.089,29,,,0,75%,,,308,,,3,37%,
,1997,,,3.548.392,68,,,0,78%,,,233,,,2,55%,
,1998,,,11.303.290,02,,,2,49%,,,492,,,5,38%,
,1999,,,19.776.634,32,,,4,35%,,,721,,,7,89%,
,2000,,,20.007.417,87,,,4,40%,,,649,,,7,10%,
,2001,,,27.778.092,42,,,6,11%,,,734,,,8,03%,
,2002,,,51.659.957,65,,,11,36%,,,1.190,,,13,02%,
,2003,,,41.383.314,99,,,9,10%,,,807,,,8,83%,
,2004,,,66.331.343,57,,,14,59%,,,1.108,,,12,12%,
,2005,,,59.723.090,46,,,13,13%,,,979,,,10,71%,
,2006,,,88.763.198,20,,,19,52%,,,1.110,,,12,14%,
,2007,,,60.523.587,26,,,13,31%,,,746,,,8,16%,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,100,00%,,,9.140,,,100,00%,
,,,,,,,,,,,,,,
,Fecha Concesión Mínima,,,Noviembre 1993,,,,,,,,,,
,Fecha Concesión Máxima,,,Agosto 2007,,,,,,,,,,
,Media Ponderada,,,Abril 2004,,,,,,,,,,
