,DESGLOSE POR PLAZO DE CONCESION,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,,,,,,,,,,,,,,
,Plazo de concesión (meses),,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,108-120,,,89.726,27,,,0,02%,,,3,,,0,03%,
,120-132,,,51.877,16,,,0,01%,,,3,,,0,03%,
,132-144,,,22.565,37,,,0,00%,,,1,,,0,01%,
,156-168,,,185.281,94,,,0,04%,,,9,,,0,10%,
,168-180,,,6.597.906,92,,,1,45%,,,429,,,4,69%,
,180-192,,,14.526.498,10,,,3,19%,,,812,,,8,88%,
,192-204,,,209.832,67,,,0,05%,,,16,,,0,18%,
,204-216,,,44.579,52,,,0,01%,,,3,,,0,03%,
,216-228,,,80.303,88,,,0,02%,,,2,,,0,02%,
,228-240,,,2.241.120,90,,,0,49%,,,39,,,0,43%,
,240-252,,,394.836.714,21,,,86,82%,,,7.183,,,78,59%,
,252-264,,,332.610,15,,,0,07%,,,10,,,0,11%,
,264-276,,,247.630,88,,,0,05%,,,2,,,0,02%,
,276-288,,,175.047,79,,,0,04%,,,5,,,0,05%,
,288-300,,,11.743.289,48,,,2,58%,,,280,,,3,06%,
,300-312,,,22.789.750,50,,,5,01%,,,334,,,3,65%,
,312-324,,,505.294,97,,,0,11%,,,7,,,0,08%,
,324-336,,,91.731,99,,,0,02%,,,2,,,0,02%,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,100,00%,,,9.140,,,100,00%,
,,,,,,,,,,,,,,
,Plazo Concesión Máximo,,,335,,,,,,,,,,
,Plazo Concesión Mínimo,,,120,,,,,,,,,,
,Media ponderada,,,242,,,,,,,,,,
