,DESGLOSE POR TIPO DE INTERES,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Principal pendiente,,,,,,Préstamos,,,,
,Tipo de interés,,,,,,,,,,,,,
,,,,Importe (€),,,%,,,Nº de Préstamos,,,%,
,,,,,,,,,,,,,,
,2,97,,,1.751.917,72,,,0,39%,,,82,,,0,90%,
,2,98,,,10.529.682,59,,,2,32%,,,438,,,4,79%,
,3,066,,,1.111.721,56,,,0,24%,,,110,,,1,20%,
,3,793,,,10.901,17,,,0,00%,,,1,,,0,01%,
,3,889,,,25.975,61,,,0,01%,,,1,,,0,01%,
,4,101,,,428.522,19,,,0,09%,,,21,,,0,23%,
,4,102,,,7.218.084,29,,,1,59%,,,396,,,4,33%,
,4,553,,,39.253.220,66,,,8,63%,,,1.030,,,11,27%,
,4,554,,,77.051.952,21,,,16,94%,,,1.967,,,21,52%,
,4,908,,,10.560.676,54,,,2,32%,,,535,,,5,85%,
,4,975,,,22.660.583,62,,,4,98%,,,230,,,2,52%,
,5,013,,,284.168.524,54,,,62,49%,,,4.329,,,47,36%,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Totales,,,454.771.762,70,,,100,00%,,,9.140,,,100,00%,
,,,,,,,,,,,,,,
,Tipo Interés Máximo,,,5,013%,,,,,,,,,,
,Tipo Interés Mínimo,,,2,970%,,,,,,,,,,
,Tipo Interés Medio Ponderado,,,4,816%,,,,,,,,,,
