Principal pendiente Préstamos
Tipo de interés
Importe (€) % Número de préstamos %
5,00 - 5,99 5.689.145,60 0,7% 324 0,4%
6,00 - 6,99 61.298.463,57 7,1% 4.918 5,9%
7,00 - 7,99 178.933.206,15 20,7% 16.433 19,8%
8,00 - 8,99 271.971.956,96 31,5% 25.542 30,7%
9,00 - 9,99 305.823.521,81 35,4% 28.843 34,7%
10,00 - 10,99 37.290.553,03 4,3% 6.475 7,8%
11,00 - 11,99 3.521.693,92 0,4% 606 0,7%
12,00 - 12,99 125.554,69 0,0% 37 0,0%
14,00 - 14,99 8.813,95 0,0% 1 0,0%
15,00 - 15,99 6.449,42 0,0% 1 0,0%
Totales 864.669.359,10 100% 83.180 100%
