Principal pendiente Préstamos
Deudor
Importe (€) % Número de préstamos %
Deudor 1 170.539,24 0,02% 3 0,00%
Deudor 2 161.105,52 0,02% 2 0,00%
Deudor 3 144.005,66 0,02% 18 0,02%
Deudor 4 119.341,33 0,01% 29 0,03%
Deudor 5 95.056,14 0,01% 2 0,00%
Deudor 6 88.990,38 0,01% 6 0,01%
Deudor 7 88.948,78 0,01% 1 0,00%
Deudor 8 83.428,99 0,01% 6 0,01%
Deudor 9 80.977,86 0,01% 1 0,00%
Deudor 10 77.563,54 0,01% 3 0,00%
Resto deudores 863.559.401,66 99,87% 83.109 99,91%
Totales 864.669.359,10 100% 83.180 100%
