ACTIVO,31/12/2012,31/12/2013,30/09/2014
,,,
INMOVILIZADO:,,,
Inmovilizaciones inmateriales,-,-,-
Inmovilizaciones materiales,-,-,-
Total inmovilizado,-,-,-
,,,
ACTIVO FIJO:,,,
Fianzas a largo plazo,-,19,19
Total activo fijo,-,19,19
ACTIVO CIRCULANTE:,,,
Deudores,310,396,268
Préstamos a empleados,38,36,28
Otros deudores,272,360,240
Inversiones financieras temporales,-,-,-
Hacienda Pública,-,-,-
Tesorería,9.966,9.987,1 0.949
Ajustes por periodificación,964,880,888
Total activo circulante,1 1.240,1 1.263,1 2.105
TOTAL ACTIVO,1 1.240,1 1.282,1 2.124
PASIVO,31/12/2012,31/12/2013,30/09/2014
,,,
FONDOS PROPIOS:,,,
Capital suscrito,902,902,902
Reservas,182,182,182
Resultados del ejercicio - Beneficio,1.905,1.553,604
Total fondos propios,2.989,2.637,1.688
,,,
ACREEDORES A LARGO PLAZO:,,,
Deudas con empresas del Grupo,6.879,7.679,7.678
,6.879,7.679,7.678
,,,
ACREEDORES A CORTO PLAZO:,,,
Hacienda Pública,71,710,956
Otras deudas,-,30,23
Deudas con empresas del Grupo,997,3,3
Ajustes por periodificación,304,223,224
Dividendo a pagar,-,-,1.552
Total acreedores a corto plazo,1.372,966,2.758
TOTAL PASIVO,1 1.240,1 1.282,1 2.124
