Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por Entidad Cedente,,
Entidad Cedente,Préstamos
Nº. %,Principal pendiente
(euros) %
Caixa Rural de Balears,211 1,40,25.220.037,60 2,17
Caja Campo, Caja Rural,280 1,86,29.373.104,35 2,53
Caja Rural Central,291 1,93,25.396.363,00 2,19
Caja Rural de Albacete,313 2,08,27.522.643,42 2,37
Caja Rural de Aragón,657 4,36,80.982.537,65 6,98
Caja Rural de Asturias,1.073 7,12,78.619.852,33 6,77
Caja Rural de Extremadura,450 2,98,33.239.190,74 2,86
Caja Rural de Granada,2.713 17,99,213.448.427,53 18,39
Caja Rural de Teruel,369 2,45,27.073.552,40 2,33
Caja Rural de Zamora,630 4,18,39.960.008,23 3,44
Caja Rural del Mediterráneo, Ruralcaja,8.090 53,66,579.779.949,03 49,95
Total 15.077 100,00 1.160.615.666,28 100,00,,
