Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por tipos de interés nominales máximos aplicables,,,
Intervalo % Tipo Interés
máximo,Préstamos
%,Principal pendiente
(euros) %,%Tipo*
interés máx.
11,00 - 11,49,291 1,93,25.396.363,00 2,19,11,00
12,00 - 12,49,2.714 18,00,224.098.095,98 19,31,12,00
13,00 - 13,49,5 0,03,347.390,58 0,03,13,00
14,00 - 14,49,149 0,99,15.584.759,70 1,34,14,00
15,00 - 15,49,2.145 14,23,174.489.394,86 15,03,15,00
16,00 - 16,49,376 2,49,27.887.739,56 2,40,16,00
17,00 - 17,49,5 0,03,141.897,42 0,01,17,00
18,00 - 18,49,18 0,12,622.947,32 0,05,18,00
20,00 - 20,49,4 0,03,167.871,58 0,01,20,00
28,00 - 28,49,155 1,03,19.523.139,26 1,68,28,00
