Niveles,Personal,Hipotecaria,Total,Renovaciones,Descubiertos
por cliente,Avales,Excepción
Comisión Ejecutiva,3.000,6.000,6.250,12.000,100,3.000,25.000
Comisión Territorial,1.500,3.000,3.000,6.000,50,1.500,300
1. Dir. General,1.500,3.000,3.000,6.000,100,1.500,3.000
2. Dir. Territorial (D.G.A.),1.000,2.000,2.000,4.000,50,1.000,300
3. Dir. Riesgos,1.000,2.000,2.000,4.000,50,1.000,300
4. Dir. Negocio, Dir. Comercial
y Resp. y Atrib. de riesgos,500,1.000,1.000,2.000,25,500,-
5. Dir. Zona,52,5,210,217,Igual que nueva,9,10,5,-
6. Dir. Of. Singulares,45,180,186,Igual que nueva,,9,-
7. Dir. Oficina Nivel Arib 7,37,5,150,155,Igual que nueva,6,7,5,-
8. Dir. Oficina Nivel Arib 8,30,124,124,Igual que nueva,6,6,-
9. Resp. Oficina,30,124,124,Igual que nueva,6,6,-
