Cartera de préstamos hipotecarios al día 17/10/2005
Clasificación por sectores de actividad económica de los deudores personas jurídicas,,
CNAE,Préstamos
% *,Principal pendiente
(euros) % *
Industria del papel; edición, artes gráficas y reproducción de
DE
soportes grabados,10 1,01,981.322,96 0,85
DF Refino de petróleo y tratamiento de combustibles nucleares,1 0,10,72.906,06 0,06
DG Industria química,9 0,91,1.306.439,32 1,13
DH Industria de la transformación del caucho y materias plásticas,3 0,30,454.615,46 0,39
DI Industrias de otros productos minerales no metálicos,21 2,12,2.576.492,10 2,22
DJ Metalurgia y fabricación de productos metálicos,29 2,92,3.581.317,57 3,09
DK Industria de la construcción de maquinaria y equipo mecánico,4 0,40,469.246,34 0,41
DL Industria de material y equipo eléctrico, electrónico y óptico,1 0,10,213.347,82 0,18
DM Fabricación de material de transporte,2 0,20,118.251,68 0,10
DN Industrias manufactureras diversas,17 1,71,2.628.729,00 2,27
EE Producción y distribución de energía eléctrica, gas y agua,2 0,20,66.171,51 0,06
FF Construcción,140 14,11,16.399.068,91 14,16
Comercio, reparación de vehículos de motor, motocicletas y
GG
ciclomotores y artículos personales y de uso doméstico,215 21,67,22.711.332,12 19,60
HH Hostelería,66 6,65,8.918.327,16 7,70
II Transporte, almacenamiento y comunicaciones,27 2,72,3.575.075,64 3,09
JJ Intermediación financiera,18 1,81,1.803.605,47 1,56
KK Actividades inmobiliarias y de alquiler; servicios empresariales,204 20,56,23.043.239,23 19,89
LL Administración pública, defensa y seguridad social,1 0,10,37.511,36 0,03
MM Educación,13 1,31,1.058.873,21 0,91
NN Actividades sanitarias y veterinarias; servicios sociales,13 1,31,2.142.849,45 1,85
Otras actividades sociales y de servicios prestados a la
OO 67 6,75 7.751.398,91 6,69
comunidad; servicios personales
Total 992 100.00 115.845.352,35 100,,
