,Listado de Tablas de Distribución,,,,
,1,,,Fecha de concesión,
,2,,,Antigüedad (Seasoning),
,3,,,Saldo Actual (Saldo Nominal Pendiente No Vencido),
,4,,,Tipo de Interés Actual,
,5,,,Índice de referencia,
,6,,,Tipo Diferencial EURH e IRPHCE,
,7,,,Bonificación,
,8,,,Tipos Máximos y Mínimos.,
,9,,,Frecuencia de pago de principal e interés,
,10,,,Carencias de principal,
,11,,,Vencimiento Residual,
,12,,,LTV,
,13,,,Distribución geográfica de la garantía (provincias),
14,,,,Distribución geográfica de la garantía (Comunidad,
,,,,Autónoma),
,15,,,Distribución geográfica del prestatario (provincias),
16,,,,Distribución geográfica del prestatario (Comunidad,
,,,,Autónoma),
,17,,,Cargas previas,
,18,,,Concentración del deudor.,
,19,,,Meses de impago.,
