Datos a 14 de diciembre de 2015
IM BCC CAJAMAR 1
Distribución por CCAA del Prestatario,,,,,,
Comunidad Autónoma,Número de
Préstamos,Saldo Nominal
Pendiente no
Vencido,Saldo
Nominal
Pendiente No
Vencido %,VTO.
Residual
Medio Pond.,VTO. Inicial
Medio Pond.,Tipo Actual
Medio Pond.
Andalucía 3.631 312.720.274,40 38,33% 306 370 1,95,,,,,,
Murcia 2.322 195.519.780,19 23,97% 303 375 1,94,,,,,,
Cdad Valenciana 1.187 104.427.443,24 12,80% 310 354 2,56,,,,,,
Castilla y León 635 56.191.412,41 6,89% 321 385 1,74,,,,,,
Madrid 438 55.653.907,32 6,82% 314 379 1,65,,,,,,
Cataluña 453 50.967.281,24 6,25% 314 393 1,57,,,,,,
Castilla‐La Mancha 114 11.406.868,71 1,40% 318 370 1,94,,,,,,
Baleares 113 10.720.958,88 1,31% 337 382 2,93,,,,,,
Canarias 86 8.221.839,15 1,01% 306 333 3,61,,,,,,
Melilla 35 3.648.465,29 0,45% 318 387 1,90,,,,,,
Ceuta 27 1.834.450,90 0,22% 241 334 1,52,,,,,,
Cantabria 11 1.415.642,23 0,17% 292 361 1,41,,,,,,
Aragón 11 895.670,10 0,11% 272 308 2,75,,,,,,
Galicia 12 820.941,96 0,10% 280 302 5,02,,,,,,
Pais Vasco 4 385.875,20 0,05% 238 299 1,74,,,,,,
Asturias 4 385.651,96 0,05% 333 384 2,16,,,,,,
La Rioja 3 308.025,02 0,04% 245 361 0,99,,,,,,
Extremadura 2 241.682,57 0,03% 281 364 1,45,,,,,,
Total 9.088 815.766.170,77 100,00% 308 372 2,00,,,,,,
