RESULTADOS INDIVIDUALES DE LA ENTIDAD,,,
,,,
Intereses y Rendimientos Asimilados,576.193,925.501,1.137.146
Intereses y Cargas Asimiladas,-201.826,-414.472,-529.681
Margen de Intereses,374.367,511.029,607.465
Rendimiento de Instrumentos de Capital,2.229,13.265,10.720
Comisiones Netas,183.625,261.000,249.709
Resultados de Operaciones Financieras ( Neto),115.486,366.995,230.835
Diferencias de Cambio ( Neto),2.883,2309,1.794
Otros Resultados de Explotación,39.326,87.631,22.531
Otras Cargas de explotación,-40.576,-59.867,-106.885
Margen Bruto,677.340,1.182.362,1.016.169
Gastos de Personal,-193.843,-270.151,-297.557
Otros Gastos Generales de Administración,-169.018,-172.120,-121.214
Amortización,-46.132,-66.765,-76.379
Dotaciones a Provisiones (Neto),-42.556,-24.886,-93.045
Pérdidas por Deterioro de Activos Financieros (Neto),-135.575,-597.805,-77.029
Resultado de Actividades de Explotación,90.216,50.635,350.945
Pérdidas por Deterioro Resto de Activos,-38.868,-100.003,-307.404
Ganancias (pérdidas) en la baja de activos no calificados como corrientes en venta,-972,172.381,-623200,00%
Ganancias (pérdidas) de activos no corrientes en venta no clasificados como operaci,-16.654,-21.347,-1442900,00%
Resultado Antes de Impuestos,33.722,101.666,22.880
Impuesto sobre beneficios,-585,780,24.769
Dotación al Fondo de Educación y Promoción,-431,-4.545,-97
Resultado de Operaciones continuadas,32.706,97.901,47.552
Resultado de Operaciones Interrumpidas (Neto),-,-,-
Resultado del Ejercicio,32.706,97.901,47.552
,,,
ROA(Beneficio neto / Activos totales medios) %,0,13%,0,26%,0,12%
ATM,34.461.513,37.362.627,39.431.161
ROE (Beneficio neto / Recursos propios medios) %,1,75%,3,92%,1,68%
RECURSOS PROPIOS MEDIOS,2.513.792,2.498.814,2.836.314
,,,
DESGLOSE DE RECURSOS PROPIOS CONSOLIDADOS NORMATIVA DEL
BANCO DE ESPAÑA,,,
,,,
Recursos Propios Básicos,2.385.974,2.403.329,2.327.327
Recursos Propios 2ª Categoria,107.417,149.620,95.737
TOTAL RECURSOS PROPIOS,2.493.391,2.552.949,2.423.065
,,,
Coeficiente de Recursos Propios ( Ratio de solvencia),11,47%,11,78%,11,29%
Coeficiente de Capital Principal,10,97%,11,09%,10,85%
(*) Ultimos datos oficiales publicados a 30/03/2015,,,
,,,
INVERSION CREDITICIA INDIVIDUAL,,,
,,,
Cartera Hipotecaria Total,18.200.962,18.674.236,19.167.750
Cartera Elegible,9.985.331,10.294.529,10.994.225
,,,
CALIDAD DEL RIESGO INDIVIDUAL,,,
,,,
Riesgo crediticio computable,32.882.307,32.999.824,32.721.040
Riesgo en Mora,5.460.907,5.852.187,6.022.794
Con garantía real,1.857.203,1.849.195,2.088.092
Resto,3.603.704,4.002.992,3.934.701
,,,
CEDULAS HIPOTECARIAS,,,
,,,
Saldo Vivo,5.050.000,4.500.000,7.100.000
,,,
MOROSIDAD Y COBERTURA INDIVIDUAL,,,
,,,
Ratios,,,
Morosidad,16,61%,17,73%,18,41%
Morosidad hipotecaria,9,41%,9,01%,9,74%
,,,
Riesgo con garantía real,19.737.975,20.521.418,21.441.452
Provisión Para Insolvencias sobre Morosos,2.428.888,2.541.441,2.393.446
Cobertura simple de la morosidad*,44,48%,43,43%,39,74%
Cobertura incluyendo garantías reales**,103,43%,105,48%,100,34%
,,,
* Cobertura constituida Total (I) / Riesgo en mora,,,
** Cobertura constituida Total (I) + Riesgo en mora con garantía real/ Riesgo en mora,,,
