MOROSIDAD Y COBERTURA INDIVIDUAL,A 30/09/2015,A 31/12/2014,A 31/12/2013
,,,
Ratios,,,
Morosidad,16,61%,17,73%,18,41%
Morosidad hipotecaria,9,41%,9,01%,9,74%
,,,
,,,
Riesgo con garantía real,19.737.975,20.521.418,21.441.452
Provisión Para Insolvencias sobre Morosos,2.428.888,2.541.441,2.393.446
Cobertura simple de la morosidad*,44,48%,43,43%,39,74%
Cobertura incluyendo garantías reales**,103,43%,105,48%,100,34%
,,,
* Cobertura constituida Total (I) / Riesgo en mora,,,
** Cobertura constituida Total (I) + Riesgo en mora con garantía real/ Riesgo en mora,,,
