TACP 12% - FTA SANTANDER HIPOTECARIO 3
AMORTIZACIONINTERESES AMORTIZACION INTERESES AMORTIZACION INTERESES AMORTIZACIONINTERESES AMORTIZACIONINTERESESAMORTIZACION INTERESES AMORTIZACION INTERESES AMORTIZACION
A1 A1 A2 A2 A3 A3 B B C C D D E E F
18/4/2013 0,00 2,900,10 354,42 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 3,305,96
18/7/2013 0,00 2,798,35 328,63 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 3,190,11
18/10/2013 0,00 2,699,21 303,23 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 3,078,18
18/1/2014 0,00 2,603,60 275,25 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,969,14
18/4/2014 0,00 2,511,70 242,87 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 2,863,96
18/7/2014 0,00 2,422,12 219,82 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 2,762,86
18/10/2014 0,00 2,336,42 197,13 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,664,33
18/1/2015 0,00 2,253,73 172,91 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,570,07
18/4/2015 0,00 2,173,56 146,30 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 2,479,10
18/7/2015 0,00 2,096,10 125,64 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 2,390,91
18/10/2015 0,00 2,021,43 105,29 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,305,71
18/1/2016 0,00 1,949,18 84,34 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 2,223,57
18/4/2016 0,00 1,878,43 63,44 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 2,144,10
18/7/2016 0,00 1,810,54 44,18 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 2,066,28
18/10/2016 0,00 1,745,20 25,90 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 932,83
18/1/2017 0,00 753,33 7,81 3,404,20 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/4/2017 0,00 0,00 0,00 5,943,66 993,97 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00
18/7/2017 0,00 0,00 0,00 5,728,57 943,18 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00
18/10/2017 0,00 0,00 0,00 5,521,66 893,28 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/1/2018 0,00 0,00 0,00 5,320,83 835,20 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/4/2018 0,00 0,00 0,00 5,126,12 762,29 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00
18/7/2018 0,00 0,00 0,00 4,938,25 717,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00
18/10/2018 0,00 0,00 0,00 4,756,47 673,37 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/1/2019 0,00 0,00 0,00 4,580,33 623,34 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/4/2019 0,00 0,00 0,00 4,402,27 562,66 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00
18/7/2019 0,00 0,00 0,00 4,248,49 523,11 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00
18/10/2019 0,00 0,00 0,00 4,091,42 484,17 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/1/2020 0,00 0,00 0,00 3,940,16 441,13 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/4/2020 0,00 0,00 0,00 3,794,10 395,34 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00
18/7/2020 0,00 0,00 0,00 3,652,97 355,86 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00
18/10/2020 0,00 0,00 0,00 3,516,29 321,35 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/1/2021 0,00 0,00 0,00 3,382,25 284,36 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/4/2021 0,00 0,00 0,00 3,252,49 243,38 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00
18/7/2021 0,00 0,00 0,00 3,128,07 212,24 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00
18/10/2021 0,00 0,00 0,00 3,007,12 181,67 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/1/2022 0,00 0,00 0,00 2,892,61 150,04 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00
18/4/2022 0,00 0,00 0,00 11,371,66 117,01 100,000,00 1,031,50 100,000,00 1,051,50 100,000,00 1,124,00 100,000,00 1,499,00 50,000,00
100,000,00 100,000,00 100,000,00 100,000,00 100,000,00 100,000,00 100,000,00 100,000,00
