FONDOS DE TITULIZACION DE ACTIVOS
AGENCIA DE FECHA SALDO INICIAL
FONDOS SERIES SALDO VIVO POR SERIE TIPO POR SERIES CALIFICACION CONSTITUCION ACTIVOS
FTA SANTANDER PUBLICO 1 Serie A 1.204.220.344,60 € Euribor 3M+ 0.039% Fitch / Moody´s España 17/12/2004 1.850.000.000,00 €
Serie B 37.000.000,00 € Euribor 3M+ 0.30%
Total 1.241.220.344,60 €
FTA SANTANDER AUTO 1 Serie Euribor 3M + 0.059% S&P España 7/4/2005 1.598.000.000,00 €
Unica 913.907.226,20 €
Total 913.907.226,20 €
FTA SANTANDER Serie A1 595.357.901,60 € Euribor 3M + 0.02% S&P España / Fitch 27/10/2005 3.100.000.000,00 €
EMPRESAS 1 Serie A2 1.240.000.000,00 € Euribor 3M + 0.12% España
Serie B Euribor 3M + 0.21%
80.600.000,00 €
Serie C 96.100.000,00 € Euribor 3M + 0.29%
Serie D 170.500.000,00 € Euribor 3M + 0.59%
Total 2.182.557.901,60 €
FTA UCI 14 Serie A Euribor 3M + 0.15% S&P España / Fitch 30/11/2005 1.350.000.000,00 €
1.113.933.282,5 €
Serie B 34.100.000,00 € Euribor 3M + 0.29% España
Serie C 38.400.000,00 € Euribor 3M + 0.58%
Total 1.186.433.282,50 €
FTA UCI 15 Serie A 1.168.746.609,16 € Euribor 3M + 0.14% S&P España / Fitch 28/4/2006 1.430.000.010,22 €
Serie B 32.900.000,00 € Euribor 3M + 0.27% España
Serie C 56.500.000,00 € Euribor 3M + 0.53%
Serie D 21.600.000,00 € Euribor 3M + 0.58%
Total 1.279.746.609,16 €
FTA SANTANDER Serie A 1.670.052.651,75 € Euribor 3M + 0.15% S&P España / Moody´s 30/6/2006 1.823.552.651,00 €
HIPOTECARIO 2 Serie B 51.800.000,00 € Euribor 3M + 0.20% España
Serie C 32.300.000,00 € Euribor 3M + 0.30%
Serie D 49.800.000,00 € Euribor 3M + 0.55%
Serie E 19.600.000,00 € Euribor 3M + 2.10%
Serie F 17.600.000,00 € Euribor 3M + 1.00%
Total 1,841.152.651,75 €
FTA SANTANDER CONSUMER Serie A 1.282.500.000,00 € Euribor 3M + 0.15% S&P España / Fitch 10/10/2006 1.350.000.000,00 €
SPAIN AUTO 06 Serie B 22.300.000,00 € Euribor 3M + 0.20% España
Serie C 22.300.000,00 € Euribor 3M + 0.30%
Serie D 22.900.000,00 € Euribor 3M + 0.55%
Serie E 10.200.000,00 € Euribor 3M + 2.10%
Total 1.360.200.000,00 €
FTA UCI 16 Serie A1 430.000.000,00 € Euribor 3M + 0.15% S&P España / Fitch 18/10/2006 1.800.000.000,00 €
Serie A2 1.247.600.000,00 € Euribor 3M + 0.20% España
Serie B 72.000.000,00 € Euribor 3M + 0.30%
Serie C 41.400.000,00 € Euribor 3M + 0.55%
Serie D 9.000.000,00 € Euribor 3M + 2.10%
Total 1.800.000.000,00 €
FTPYME BANESTO 2 Serie A1 400.000.000,00 € Euribor 3M + 0,13 % S&P España / Moody´s 17/11/2006 1.000.000.000,00 €
Serie A2 541.700.000,00 € Euribor 3M + 0,17% España
Serie B 24.300.000,00 € Euribor 3M + 0,27% Fitch España
Serie C 34.000.000,00 € Euribor 3M + 0,54%
Total 2.800.000.000,00 €
FTA Serie A 1.738.500.000,00 € Euribor 3M + 0.15% S&P España / Moody´s 14/12/2006 1.900.000.000,00 €
FINANCIACION 1 Serie B 25.700.000,00 € Euribor 3M + 0.20% España
Serie C 61.700.000,00 € Euribor 3M + 0.30%
Serie D 47.500.000,00 € Euribor 3M + 0.55%
Serie E 26.600.000,00 € Euribor 3M + 2.10%
Serie F 14.300.000,00 € Euribor 3M + 1.00%
Total 1.914.300.000,00 €
FTA Serie A1 1.300.100.000,00 € Euribor 3M + 0.05% Fitch España/ Moody´s 14/12/2006 2.900.000.000,00 €
SANTANDER EMPRESAS 2 Serie A2 1.365.000.000,00 € Euribor 3M + 0.16% España
Serie B 84.100.000,00 € Euribor 3M + 0.22%
Serie C 62.300.000,00 € Euribor 3M + 0.32%
Serie D 59.500.000,00 € Euribor 3M + 0.55%
Serie E 29.000.000,00 € Euribor 3M + 2.10%
Serie F 53.700.000,00 € Euribor 3M + 0.50%
Total 2.953.700.000,00 €
TOTAL FTA 30.710.141.432,97 € 34.849.576.870,74 €
TOTAL (FTH+FTA) 33.478.182.712,79 € 41.841.662.418,56 €
