TACP 14% - FTA SANTANDER HIPOTECARIO 3
AMORTIZACION INTERESES AMORTIZACION INTERESESAMORTIZACIONINTERESES AMORTIZACIONINTERESESAMORTIZACIONINTERESES AMORTIZACION INTERESES AMORTIZACION INTERESES AMORTIZACIONINTERESES
A1 A1 A2 A2 A3 A3 B B C C D D E E F F
18/7/2007 24,509,28 1,159,67 0,00 1,183,00 0,00 1,200,50 0,00 1,203,42 0,00 1,226,75 0,00 1,311,33 0,00 1,748,83 0,00 1,282,17
18/10/2007 17,616,93 767,05 0,00 1,036,53 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/1/2008 16,923,56 588,05 0,00 1,036,53 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/4/2008 16,375,81 411,57 0,00 1,025,27 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 1,111,21
18/7/2008 15,620,20 246,98 0,00 1,025,27 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 1,111,21
18/10/2008 8,954,23 90,98 2,410,58 1,036,53 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/1/2009 0,00 5,740,62 1,011,55 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/4/2009 0,00 5,512,52 931,35 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00 1,099,00
18/7/2009 0,00 5,293,31 885,18 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 1,111,21
18/10/2009 0,00 5,082,67 840,04 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/1/2010 0,00 4,880,10 787,35 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/4/2010 0,00 4,684,95 720,75 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00 1,099,00
18/7/2010 0,00 4,496,54 680,73 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 1,111,21
18/10/2010 0,00 4,319,96 641,60 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/1/2011 0,00 4,161,73 596,82 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 0,00 1,123,42
18/4/2011 0,00 4,014,17 541,65 0,00 1,029,00 0,00 1,031,50 0,00 1,051,50 0,00 1,124,00 0,00 1,499,00 0,00 1,099,00
18/7/2011 0,00 3,879,58 506,51 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 0,00 1,111,21
18/10/2011 0,00 3,726,23 471,86 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 3,731,53 1,123,42
18/1/2012 0,00 3,580,46 433,24 0,00 1,051,87 0,00 1,054,42 0,00 1,074,87 0,00 1,148,98 0,00 1,532,31 4,098,85 1,081,50
18/4/2012 0,00 3,434,81 391,82 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 3,938,51 1,024,20
18/7/2012 0,00 3,294,72 356,61 0,00 1,040,43 0,00 1,042,96 0,00 1,063,18 0,00 1,136,49 0,00 1,515,66 3,778,29 980,43
