Cartera de préstamos seleccionados al día 06/03/2017
Clasificación por Comunidades y Ciudades Autónomas,
,Préstamos Principal pendiente
N.º % (euros) %
Andalucía,30.557 18,06 268.982.812,55 18,88
Cataluña,30.532 18,04 235.328.300,03 16,52
Madrid,20.408 12,06 175.832.101,92 12,34
Comunidad Valenciana,18.606 10,99 153.021.554,60 10,74
Islas Canarias,15.672 9,26 128.061.367,55 8,99
Galicia,9.692 5,73 81.024.837,03 5,69
Castilla León,7.217 4,26 60.224.151,47 4,23
País Vasco,5.062 2,99 44.747.085,59 3,14
Castilla La Mancha,5.200 3,07 44.083.401,82 3,09
Asturias,4.491 2,65 38.003.228,23 2,67
Extremadura,4.072 2,41 36.719.114,60 2,58
Murcia,4.011 2,37 36.670.837,98 2,57
Islas Baleares,3.981 2,35 34.430.974,03 2,42
Aragón,3.477 2,05 29.264.574,67 2,05
Cantabria,1.878 1,11 15.822.954,86 1,11
Melilla,1.224 0,72 14.025.848,26 0,98
Navarra,1.302 0,77 10.848.415,91 0,76
