Cartera de préstamos seleccionados al día 06.02.2017
Clasificación por principal pendiente de vencer,,,
Intervalo de principal
(en euros),Préstamos
N.º %,Principal pendiente
(euros) %,
0,00 - 4.999,99,72.728 42,98,201.780.656,26 14,17,
5.000,00 - 9.999,99,48.440 28,62,347.469.364,13 24,39,
10.000,00 - 14.999,99,22.382 13,23,274.332.201,76 19,26,
15.000,00 - 19.999,99,11.580 6,84,201.384.631,44 14,14,
20.000,00 - 24.999,99,5.968 3,53,133.052.177,96 9,34,
25.000,00 - 29.999,99,4.647 2,75,128.195.257,17 9,00,
30.000,00 - 34.999,99,1.429 0,84,45.944.553,76 3,23,
35.000,00 - 39.999,99,786 0,46,29.281.356,55 2,06,
40.000,00 - 44.999,99,443 0,26,18.761.856,32 1,32,
45.000,00 - 49.999,99,388 0,23,18.369.193,39 1,29,
50.000,00 - 54.999,99,173 0,10,9.050.902,40 0,64,
55.000,00 - 59.999,99,99 0,06,5.671.372,66 0,40,
60.000,00 - 64.999,99,92 0,05,5.758.126,34 0,40,
65.000,00 - 69.999,99,45 0,03,3.048.425,25 0,21,
70.000,00 - 74.999,99,20 0,01,1.448.987,47 0,10,
75.000,00 - 79.999,99,3 0,00,233.129,36 0,02,
80.000,00 - 84.999,99,2 0,00,164.898,82 0,01,
85.000,00 - 89.999,99,2 0,00,172.696,56 0,01,
90.000,00 - 94.999,99,2 0,00,184.652,50 0,01,
95.000,00 - 99.999,99,1 0,00,97.334,34 0,01,
Total 169.230 100,00 1.424.401.774,44 100,00,,,
,Principal medio:,8.416,96,
,Principal mínimo:,500,24,
,Principal máximo:,97.334,34,
