Cartera de préstamos hipotecarios al día 9.06.2014
Clasificación por el año amortización final,,,
Año de amortización final,Préstamos
hipotecarios
%,Principal pendiente
(euros) %,Vida Residual mp*
Años Fecha
2015,3 0,25,20.572,92 0,02,1,02 15/06/2015
2016,1 0,08,16.234,03 0,01,2,56 28/12/2016
2017,3 0,25,65.728,32 0,05,3,28 19/09/2017
2018,1 0,08,77.770,97 0,06,4,55 26/12/2018
2019,4 0,25,117.274,71 0,09,4,87 22/04/2019
2020,3 0,25,60.860,47 0,05,6,28 16/09/2020
2021,6 0,59,183.614,84 0,14,7,39 27/10/2021
2022,20 1,68,968.977,01 0,76,8,28 19/09/2022
2023,7 0,59,391.087,37 0,31,8,92 08/05/2023
2024,21 1,76,1.081.570,24 0,85,10,19 14/08/2024
2025,8 0,67,488.970,43 0,39,11,11 18/07/2025
2026,13 1,09,827.202,89 0,65,12,14 26/07/2026
2027,47 3,94,2.422.896,66 1,91,13,13 25/07/2027
2028,12 1,01,658.722,62 0,52,13,82 02/04/2028
2029,8 0,67,699.696,86 0,55,15,06 25/06/2029
2030,22 1,93,1.600.597,28 1,26,16,10 10/07/2030
2031,15 1,26,1.193.995,03 0,94,17,13 21/07/2031
2032,87 7,29,6.479.678,45 5,10,18,28 14/09/2032
2033,28 2,43,2.692.347,83 2,12,18,98 28/05/2033
2034,16 1,34,1.707.569,72 1,34,20,15 29/07/2034
2035,15 1,26,1.936.769,09 1,53,21,14 26/07/2035
2036,21 1,76,2.363.493,34 1,86,22,06 26/06/2036
2037,126 10,81,11.863.611,52 9,34,23,33 01/10/2037
2038,58 4,86,6.305.535,82 4,97,23,93 10/05/2038
2039,25 2,43,3.907.020,80 3,08,25,17 06/08/2039
2040,27 2,26,3.825.428,89 3,01,26,11 12/07/2040
2041,18 1,51,2.140.185,48 1,69,27,05 21/06/2041
2042,195 16,35,22.218.044,87 17,49,28,29 15/09/2042
2043,47 4,02,5.344.036,53 4,21,28,82 28/03/2043
