Cartera de préstamos hipotecarios al día 9.06.2014
Clasificación por Deudor,,
,Préstamos
hipotecarios
%,Principal pendiente
(euros) %
Deudor 1,1 0,08,401.998,87 0,32
Deudor 2,1 0,08,350.126,28 0,28
Deudor 3,1 0,08,346.753,29 0,27
Deudor 4,1 0,08,345.250,23 0,27
Deudor 5,1 0,08,334.652,38 0,26
Deudor 6,1 0,08,315.839,16 0,25
Deudor 7,1 0,08,306.944,65 0,24
Deudor 8,1 0,08,303.597,86 0,24
Deudor 9,1 0,08,286.149,45 0,23
Deudor 10,1 0,08,279.804,94 0,22
Resto de deudores,1.172 99,15,123.727.504,97 97,42
Total deudores: 1.182 1.182 100,00 126.998.622,08 100,00,,
