TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS NO HIPOTECARIOS
Préstamos No
Intervalo Principal pendiente
Hipotecarios
(miles de euros salvo
(%) el total en euros) % nº %
1,60 - 1,99 365,73 0,34 35 0,63
2,00 - 2,49 0,00 0,00 0 0,00
2,50 - 2,99 98,02 0,09 4 0,07
3,00 - 3,49 105,66 0,10 7 0,12
3,50 - 3,99 699,77 0,66 36 0,65
4,00 - 4,49 2.399,86 2,28 124 2,26
4,50 - 4,99 5.105,80 4,85 247 4,51
5,00 - 5,49 4.767,97 4,53 236 4,30
5,50 - 5,99 8.912,00 8,48 410 7,48
6,00 - 6,49 17.560,49 16,71 830 15,15
6,50 - 6,99 24.390,99 23,21 1.207 22,04
7,00 - 7,49 28.958,38 27,56 1.581 28,87
7,50 - 7,99 8.586,05 8,17 546 9,97
8,00 - 8,49 2.652,26 2,52 178 3,25
8,50 - 8,99 340,40 0,32 26 0,47
9,00 - 9,49 95,18 0,09 6 0,10
9,50 - 9,99 0,00 0,00 0 0,00
10,00 - 11,00 33,42 0,03 3 0,05
Totales: 105.072.074,80 100,00 5.476 100,00
