TIPOS DE INTERÉS ACTUALES DE LOS PRÉSTAMOS HIPOTECARIOS
Préstamos
Intervalo Principal pendiente
Hipotecarios
(miles de euros salvo el
(%) total en euros) % nº %
2,10 - 2,49 22.010,73 1,58 160,00 1,35
2,50 - 2,99 47.291,60 3,39 275 2,31
3,00 - 3,49 176.625,29 12,69 1.371 11,54
3,50 - 3,99 619.449,61 44,52 5.254 44,24
4,00 - 4,49 252.351,70 18,13 2.218 18,67
4,50 - 4,99 235.936,28 16,95 2.109 17,75
5,00 - 5,49 19.044,45 1,36 194 1,63
5,50 - 5,99 15.400,11 1,10 145 1,22
6,00 - 6,49 625,04 0,04 6 0,05
6,50 - 6,99 195,57 0,01 2 0,01
7,00 - 7,49 729,16 0,05 47 0,39
7,50 - 7,99 421,48 0,03 26 0,21
8,00 - 8,49 116,08 0,00 9 0,07
8,50 - 8,99 179,89 0,01 12 0,10
9,00 - 9,49 490,12 0,03 28 0,23
9,50 - 9,99 159,74 0,01 10 0,08
10,00 - 11,75 143,16 0,01 10 0,08
Totales: 1.391.170.121,43 100,00 11.876 100,00
