Fixed Rate Payer Payment Dates:,
Floating Amounts:,
Floating Rate Payer:,
Cap/FloorRate:,
Floating Rate Payer Payment Dates:,
Floating Rate for initial Calculation
Period:,
Floating Rate Option:,
Designated Maturity:,
Floating Rate Day Count Fraction:,
Reset Dates:,
Business Day Convention:,Modified Following Business Day
Calculation Agent and relevant
calculation agency provisions:,
Events of Default/Termination
Events/Additional Termination Events
(including Hedging Counterparty
Required Ratings):,
Rating Agencies and Rating Events:,
Description of the Collateral
Arrangements:,
Other relevant provisions:,
