,Cartera de Operaciones a 29 de octubre de 2007,,,,,,,,,,
,Clasificación por relación Saldo de Préstamos y Primeras Disposiciones/Valor Tasación,,,,,,,,,,
Intervalo Relación,,Operaciones,,,Principal Pendiente,,,,Valor Tasación,,
,,Número,,%,Importe,,%,,Importe,,%
0% 9,99%
10% 19,99%
20% 29,99%
30% 39,99%
40% 49,99%
50% 59,99%
60% 69,99%
70% 79,99%
80% 89,99%
90% 100,00%,,810 8,73%
1361 14,67%
1275 13,74%
1106 11,92%
1136 12,25%
1033 11,14%
1299 14,00%
1045 11,26%
125 1,35%
87 0,94%,,,27.295.294,74 2,44%
75.664.990,24 6,76%
106.221.281,19 9,49%
129.280.435,54 11,55%
142.009.185,45 12,69%
169.639.457,63 15,16%
224.174.276,89 20,03%
203.685.843,62 18,20%
23.491.748,05 2,10%
17.476.092,05 1,56%,,,455.263.507,97 14,96%
514.531.190,92 16,91%
423.597.498,69 13,92%
371.068.520,18 12,19%
315.749.334,94 10,37%
305.779.894,10 10,05%
342.018.845,62 11,24%
269.845.154,51 8,87%
27.496.392,56 0,90%
18.300.184,51 0,60%,,,
,Total Cartera,9.277,,100,00%,1.118.938.605,40,,100,00%,,3.043.650.524,00,,100,00%
Promedio Ponderado 52,04%
Mínimo 0,030%
Máximo 100,00%,,,,,,,,,,,
