Cartera de Operaciones a día 29 de octubre de 2007,,,,,,,,,
Clasificación por antigüedad de la fecha de formalización,,,,,,,,,
,,,,,,,,,
Intervalo,,,,Operaciones,,,Principal Pendiente,,
Fecha de Formalización,,,,Número,,%,Importe,,%
01/01/1989,,30/06/1989,,3,,0,01%,11.990,73,,0,00%
01/07/1989,,31/12/1989,,2,,0,01%,19.506,87,,0,00%
01/01/1990,,30/06/1990,,3,,0,01%,16.839,92,,0,00%
01/07/1990,,31/12/1990,,4,,0,01%,48.697,87,,0,00%
01/01/1991,,30/06/1991,,1,,0,00%,6.467,88,,0,00%
01/07/1991,,31/12/1991,,4,,0,01%,131.653,98,,0,01%
01/07/1992,,31/12/1992,,3,,0,01%,25.940,99,,0,00%
01/01/1993,,30/06/1993,,3,,0,01%,38.607,97,,0,00%
01/07/1993,,31/12/1993,,6,,0,02%,27.786,89,,0,00%
01/01/1994,,30/06/1994,,23,,0,08%,240.220,42,,0,02%
01/07/1994,,31/12/1994,,45,,0,16%,557.521,05,,0,04%
01/01/1995,,30/06/1995,,52,,0,19%,861.958,96,,0,05%
01/07/1995,,31/12/1995,,60,,0,22%,1.041.183,87,,0,07%
01/01/1996,,30/06/1996,,58,,0,21%,995.293,62,,0,06%
01/07/1996,,31/12/1996,,79,,0,28%,1.947.782,81,,0,12%
01/01/1997,,30/06/1997,,92,,0,33%,2.838.999,72,,0,18%
01/07/1997,,31/12/1997,,85,,0,31%,3.141.232,59,,0,20%
01/01/1998,,30/06/1998,,119,,0,43%,4.343.627,95,,0,27%
01/07/1998,,31/12/1998,,124,,0,45%,4.469.319,31,,0,28%
01/01/1999,,30/06/1999,,180,,0,65%,5.823.193,85,,0,37%
01/07/1999,,31/12/1999,,136,,0,49%,6.050.703,15,,0,38%
01/01/2000,,30/06/2000,,146,,0,53%,9.335.433,58,,0,59%
01/07/2000,,31/12/2000,,185,,0,67%,9.626.203,63,,0,61%
01/01/2001,,30/06/2001,,187,,0,67%,10.571.718,52,,0,67%
01/07/2001,,31/12/2001,,179,,0,64%,8.702.240,44,,0,55%
01/01/2002,,30/06/2002,,223,,0,80%,11.277.227,46,,0,71%
01/07/2002,,31/12/2002,,221,,0,80%,12.508.350,92,,0,79%
01/01/2003,,30/06/2003,,437,,1,57%,26.703.200,00,,1,69%
01/07/2003,,31/12/2003,,572,,2,06%,24.242.944,05,,1,53%
01/01/2004,,30/06/2004,,1.006,,3,62%,55.593.098,72,,3,51%
01/07/2004,,31/12/2004,,971,,3,50%,54.498.142,85,,3,44%
01/01/2005,,30/06/2005,,1.585,,5,71%,88.156.505,23,,5,57%
01/07/2005,,31/12/2005,,1.653,,5,96%,105.564.724,85,,6,67%
01/01/2006,,30/06/2006,,5.263,,18,96%,311.757.477,78,,19,69%
01/07/2006,,31/12/2006,,5.003,,18,02%,317.694.988,83,,20,07%
01/01/2007,,30/06/2007,,7.237,,26,07%,399.624.480,39,,25,25%
01/07/2007,,31/08/2007,,1.807,,6,51%,104.432.236,93,,6,60%
Total Cartera,,,,27.757,,100,00%,1.582.927.504,58,,100,00%
,,,,Antigüedad media ponderada,,,1,77 años,,
,,,,Antigüedad máxima,,,10/03/1989,,
,,,,Antigüedad mínima,,,31/08/2007,,
