Fondo de Titulización,Fecha,Emisión
Bonos,Saldo a,Saldo a,Saldo a
En miles de euros,Constitución,Inicial,31/10/2007,31/12/2006,31/12/2005
FONCAIXA HIPOTECARIO 1, FTH*,14/07/1999,600.000,77.987,98.936,135.411
FONCAIXA HIPOTECARIO 2, FTH*,22/02/2001,600.000,163.448,201.786,248.454
FONCAIXA HIPOTECARIO 3, FTH*,06/07/2001,1.500.000,633.255.,727.605,840.381
FONCAIXA HIPOTECARIO 4, FTH*,13/12/2001,600.000,255.211,286.014,334.908
FONCAIXA HIPOTECARIO 5, FTH*,15/10/2002,600.000,315.678,358.746,410.906
FONCAIXA HIPOTECARIO 6, FTH*,17/12/2002,600.000,325.374,365.788,417.062
FONCAIXA HIPOTECARIO 7, FTH*,26/09/2003,1.250.000,779.388.,874.161,984.100
FONCAIXA HIPOTECARIO 8, FTH*,15/03/2005,1.000.000,748.735.,818.578,918.299
GC SABADELL 1, FTH,12/07/2004,1.200.000,733.430,822.346,1.050.000
GC FTGENCAT II, FTA*,28/03/2003,950.000,238.706,338.914,467.414
GC FTPYME PASTOR 1, FTA,28/10/2003,225.000,56.224,81.846,121.472
GC FTPYME PASTOR 2, FTA,28/10/2004,800.000,263.557,388.917,559.940
FONCAIXA FTPYME 1, FTA*,27/11/2003,600.000,178.043,415.000,415.000
GS COMPASS SPAIN 1, FTA,10/12/2004,150.000,49.932,39.965,110.024
GC FTPYME SABADELL 4, FTA,21/10/2005,750.000,502.788,750.000,750.000
FONCAIXA FTGENCAT 3, FTA *,15/11/2005,656.500,437.201,656.500,656.500
GC FTGENCAT SABADELL 1, FTA,02/12/2005,500.000,500.000,500.000,500.000
FONCAIXA FTGENCAT 4, FTA*,14/07/2006,606.000,606.000,606.000,N/A
FONCAIXA HIPOTECARIO 9, FTA*,29/03/2006,1.500.000,1.200.206,1.346.163,N/A
GC FTGENCAT CAIXA SABADELL 1,FTA *,19/10/2006,304.500,304.500,304.500,N/A
GC FPTYME PASTOR 4, FTA,07/11/2006,630.000,447.357,630.000,N/A
GC FPTYME SABADELL 5, FTA,22/11/2006,1.250.000,1.250.000,1.250.000,N/A
FONCAIXA HIPOTECARIO 10, FTA*,24/05/2007,1.512.000,1.453.964,N/A,N/A
GC PASTOR HIPOTECARIO 5, FTA,26/06/2007,710.500,693.001,N/A,N/A
GC FTPYME SABADELL 6, FTA,27/06/2007,1.000.000,1.000.000,N/A,N/A
