CREDIFIMO,,,,
,,,,
,31/03/2006,31/12/2005,31/03/2005,∆%
,,,,
BALANCE (millones de euros),,,,
Activo total 587,37 510,86 604,91 -2,90%
Créditos sobre clientes (bruto) 579,26 502,02 600,529 -3,54%
Recursos de clientes en balance 0,00 0,00 0,00 0%
Otros recursos de clientes 0,00 0,00 0,00 0%
Total recursos gestionados de clientes 579,257 502,024 600,529 -3.54%
Patrimonio neto 16,13 22,04 11,83 36,35%
Fondos propios 16,13 22,04 11,83 36,35%,,,,
CUENTA DE RESULTADOS (millones de euros),,,,
Margen de intermediación 2,97 14,91 3,31 -10,27%
Margen ordinario 3,41 17,20 3,52 -3,13%
Margen de explotación 2,09 12,37 2,37 -11,81%
Beneficio antes de impuestos 1,36 11,58 1,24 9,68%
Resultado individual 0,85 7,52 0,80 6,25%,,,,
RATIOS RELEVANTES (%),,,,
ROE (Bº atribuido/Fondos propios) 5,27% 34,12% 6,79% -22,39%
ROA (Bº neto/Activos totales medios) 0,16% 1,56% 0,16% 0,00%
Índice de Morosidad 1,06% 1,10% 0,81% 30,86%
Índice de Cobertura de la Morosidad 87,78% 78,89% 127,77% -31,30%
Ratio de Eficiencia 107,49% 66,18% 80,70% 33,20%
Coeficiente de Solvencia 2,82% 4,31% 2,00% 41,00%,,,,
INFORMACIÓN ADICIONAL,,,,
Número de acciones (miles) 818 818 600 36,33%
Número de accionistas 1 1 1 0%
Número de oficinas 5 5 5 0%
Número de empleados 51 50 49 4,08%,,,,
