BALANCE DEL FONDO (en su origen) (**),,,,
EUROS,,,,
ACTIVO,,PASIVO,,
,,,,
Participaciones y Certificados,265.000.000,,Bono A,250.300.000
,,,Bono B,6.900.000
,,,Bono C,5.300.000
,,,Bono D,2.500.000
Tesorería,,,,
Fondo de Reserva,2.597.000,,Valores NAS- IO*,2.853.420
,,,,
Gastos Iniciales activados,733.872,81,,Préstamo para Gastos Iniciales *,477.452,81
,,,,
Cuenta Amortización Línea de Liquidez,,,,
Dispuesta,530.000,,Línea de Liquidez Dispuesta,530.000
,,,,
,,,,0
TOTAL ACTIVO,268.860.872,81,,TOTAL PASIVO,268.860.872,81
