,,,,TAA 9%,TAA 12%,TAA 15%
,,,,,,
Serie A1,,Vida Media,,2,38,1,90,1,59
,,TIR,,4,52%,4,52%,4,52%
,,Duración,,2,14,1,73,1,46
Serie A2,,Vida Media,,10,90,8,90,7,43
,,TIR,,4,57%,4,58%,4,58%
,,Duración,,8,07,6,88,5,94
Serie B,,Vida Media,,11,90,9,76,8,04
,,TIR,,4,87%,4,87%,4,87%
,,Duración,,8,54,7,34,6,29
Serie C,,Vida Media,,11,90,9,76,8,04
,,TIR,,5,29%,5,29%,5,29%
,,Duración,,8,32,7,17,6,17
Serie D,,Vida Media,,17,10,14,35,12,10
,,TIR,,8,06%,8,06%,8,06%
,,Duración,,8,86,8,09,7,34
Call 10%,,,,28-ago-24,29-nov-21,28-ago-19
