Elaborado con datos a 28/06/2007,,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO TDA 29, F.T.A.
(División por Fecha de Formalización),,
,,,
,VENCIMIENTO VENCIMIENTO
TIPO ACTUAL
INICIAL RESIDUAL
FECHA SALDO PONDERADO Min. TIPO Máx. TIPO
NUM SALDO ACTUAL EUROS PONDERADO PONDERADO
FORMALIZACION ACTUAL % POR SALDO ACTUAL ACTUAL
POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses),,
,1994 3 7 3.785,68 0,01 244 92 5,66 5,250 6,000
1995 1 3 3.257,10 0,00 240 100 5,00 5,000 5,000
1996 1 8 7 16.043,13 0,08 257 129 4,72 4,000 5,802
1997 9 9 4 .344.419,69 0,49 237 118 4,66 3,875 6,000
1998 6 5 2 .722.625,05 0,30 241 133 4,82 3,900 5,750
1999 6 3 3 .500.962,50 0,39 236 141 4,83 3,908 5,750
2000 4 9 3 .704.936,40 0,41 278 195 4,79 4,000 5,750
2001 8 8 7 .863.837,10 0,88 265 194 4,88 4,000 6,250
2002 1 88 1 7.150.425,28 1,92 268 209 4,88 3,813 6,250
2003 2 26 2 2.856.571,59 2,56 270 223 4,80 3,901 7,606
2004 4 83 6 5.997.955,63 7,39 301 267 4,54 3,500 5,794
2005 1 .356 2 17.579.641,50 24,35 337 315 4,61 3,671 6,103,,
,2006 3 .284 5 24.912.867,96 58,74 346 334 4,50,2,700,6,103
,2007 1 22 22.181.297,02 2,48 340 335 4,42 3,800 5,500,,
,TOTALES 6 .045 893.638.625,63 100 334,39 314,68 4,550 2,700 7,606,,
66,,,
