Elaborado con datos a 12/06/2007,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN TDA 28, FTA
(División por Año de Formalización)
,
,VENCIMIENTO VENCIMIENTO
INICIAL RESIDUAL TIPO ACTUAL
SALDO ACTUAL SALDO Min. TIPO Máx. TIPO
AÑO FORMALIZACION NUM PONDERADO POR PONDERADO POR PONDERADO POR
EUROS ACTUAL % ACTUAL ACTUAL
SALDO INICIAL SALDO ACTUAL SALDO ACTUAL
(meses) (meses)
,1999 2 139.010,24 0,03 304 205 4,330 4,289 4,365
2000 73 4.735.444,49 0,89 294 211 4,580 3,900 5,500
2001 526 34.783.707,03 6,53 316 245 4,690 3,950 5,500
2002 670 53.078.834,37 9,96 336 276 4,660 3,800 5,810
2003 114 13.013.130,04 2,44 378 332 4,650 4,058 5,253
2004 240 33.353.284,86 6,26 408 374 4,860 4,000 6,753
2005 274 37.242.751,13 6,99 393 371 4,910 3,958 6,753
2006 2.597 339.662.342,24 63,72 417 406 5,130 3,900 6,753
2007 90 17.060.188,91 3,20 445 441 4,550 4,000 5,250
,TOTALES 4.586 533.068.693,31 100,00 399 376 4,990 3,800 6,753
72,
