AyT Goya Hipotecario III, FTA
Distribución según concentración mayores deudores
Número Saldo % Saldo Saldo Vivo Tipo de interés Vida residual años Plazo Total años
Deudor Saldo Inicial
Préstamos Vivo Vivo Medio Medio ponder. Media ponder. media ponder

1 1 1.963.025,08 0,05% 1.963.025,08 2,03% 15,67 2.100.000,00 20,00
2 1 1.833.654,42 0,04% 1.833.654,42 1,68% 24,33 2.087.000,00 30,00
3 1 1.728.000,00 0,04% 1.728.000,00 1,98% 12,50 1.728.000,00 15,00
4 1 1.590.369,30 0,04% 1.590.369,30 1,71% 26,92 1.720.000,00 30,00
5 1 1.578.932,49 0,04% 1.578.932,49 1,82% 25,83 1.920.000,00 30,00
6 1 1.546.777,84 0,04% 1.546.777,84 1,54% 27,58 1.630.800,00 30,00
7 1 1.433.965,51 0,03% 1.433.965,51 1,81% 26,92 1.522.176,00 30,00
8 1 1.391.919,95 0,03% 1.391.919,95 1,54% 14,67 1.723.926,61 17,08
9 1 1.361.335,01 0,03% 1.361.335,01 1,52% 17,83 1.504.000,00 20,50
10 1 1.332.830,22 0,03% 1.332.830,22 1,87% 23,83 1.332.830,22 25,00

Total 10 15.760.809,82 0,38% 1.576.080,98 1,76% 21,46 17.268.732,83 24,73
