Cartera de préstamos hipotecarios al día 9.06.2014
Clasificación por Comunidades Autónomas,,
,Préstamos hipotecarios
%,Principal pendiente
( euros) %
Andalucía,300 25,38,24.637.422,09 19,40
Aragón,444 37,56,44.818.092,80 35,29
Cantabria,1 0,08,124.981,05 0,10
Castilla-La Mancha,1 0,08,95.657,73 0,08
Cataluña,28 2,37,3.798.660,74 2,99
Comunidad Valenciana,12 1,02,786.736,86 0,62
La Rioja,37 3,13,4.505.979,04 3,55
Madrid,87 7,36,8.172.309,05 6,43
Navarra,184 15,57,26.311.313,04 20,72
País Vasco,88 7,45,13.747.469,68 10,82
Total 1.182 100,00 126.998.622,08 100,00,,
