Cartera de préstamos hipotecarios al día 9.06.2014
Clasificación por relación principal pendiente / Valor Tasación,,,
Intervalos Relación,Préstamos hipotecarios,Principal pendiente,(%) Principal
pendiente/
V. Tasación *
,%,(euros) %,
0,00 - 4,99,1 0,08,3.577,21 0,00,2,65
5,00 - 9,99,6 0,51,92.659,83 0,07,8,35
10,00 - 14,99,9 0,76,199.787,51 0,16,12,54
15,00 - 19,99,16 1,35,443.212,56 0,35,17,84
20,00 - 24,99,28 2,37,984.149,80 0,77,22,54
25,00 - 29,99,25 2,12,1.086.170,58 0,86,27,81
30,00 - 34,99,30 2,54,1.642.552,71 1,29,33,05
35,00 - 39,99,29 2,45,1.607.985,41 1,27,37,50
40,00 - 44,99,13 1,10,872.429,31 0,69,43,37
45,00 - 49,99,82 6,94,6.438.850,33 5,07,47,67
50,00 - 54,99,69 5,84,6.295.743,89 4,96,52,24
55,00 - 59,99,103 8,71,10.187.086,83 8,02,57,69
60,00 - 64,99,93 7,87,9.642.721,67 7,59,62,40
65,00 - 69,99,130 11,00,14.500.812,39 11,42,67,58
70,00 - 74,99,110 9,31,12.785.747,88 10,07,72,53
75,00 - 79,99,179 15,14,22.364.649,85 17,61,77,50
80,00 - 84,99,156 13,20,21.930.340,96 17,27,82,46
85,00 - 89,99,99 8,38,15.278.114,31 12,03,87,15
90,00 - 94,99,2 0,17,353.333,71 0,28,91,05
95,00 - 99,99,2 0,17,288.695,34 0,23,96,13
Total 1.182 100,00 126.998.622,08 100,00,,,
Media Pondera da: 69,94 %
Media Simple: 64,41 %
Mínimo: 2,65 %
Máximo: 96,75 %
*Relación Pri nci pal pendiente / V. Tasación s on medias ponderadas por el princi pal pendien te.,,,
