Elaborado con datos a 01/06/2006,,
,CARTERA CERTIFICADOS DE TRANSMISIÓN DE HIPOTECA TDA 26-MIXTO F.T.A.
(División por Tipo de Referencia)
Grupo 2,
,,
,VENCIMIENTO VENCIMIENTO TIPO
TIPO ACTUAL
SALDO INICIAL RESIDUAL DIFERENCIAL
SALDO ACTUAL PONDERADO Min. TIPO Máx. TIPO
TIPO REFERENCIA NUM ACTUAL PONDERADO PONDERADO PONDERADO
EUROS POR SALDO ACTUAL ACTUAL
% POR SALDO POR SALDO POR SALDO
ACTUAL
INICIAL (meses) ACTUAL (meses) ACTUAL,
,EURIBOR 1 AÑO 559 77.367.795,77 82,34 340 322 3,350 0,800 2,553 4,555
0,00 - 0,50 4 865.984,72 1,12 346 331 2,700 0,430 2,553 2,900
0,50 - 1,00 392 58.453.170,21 75,55 345 328 3,250 0,730 2,600 4,204
1,00 - 1,50 153 17.449.734,82 22,55 325 306 3,730 1,060 2,750 4,555
1,50 - 2,00 10 598.906,02 0,77 286 262 4,010 1,510 3,500 4,414
EURIBOR 3 MESES 58 10.489.485,25 11,16 345 326 2,970 0,230 2,170 3,414
0,00 - 0,50 31 6.038.415,57 57,57 351 333 2,730 0,000 2,170 2,814
0,50 - 1,00 27 4.451.069,68 42,43 337 316 3,290 0,540 3,042 3,414
EURIBOR 6 MESES 1 69.056,79 0,07 301 251 4,000 1,000 4,000 4,000
1,00 - 1,50 1 69.056,79 100,00 301 251 4,000 1,000 4,000 4,000
IRPH 61 5.934.830,68 6,32 320 300 3,710 0,260 2,900 4,500
0,00 - 0,50 51 5.285.054,47 89,05 318 297 3,710 0,190 2,900 4,500
0,50 - 1,00 7 255.642,66 4,31 226 203 3,870 0,680 3,664 4,182
1,00 - 1,50 3 394.133,55 6,64 415 408 3,680 1,000 3,500 3,850
MIBOR 1 AÑO 1 98.804,10 0,11 238 205 3,000 0,700 3,000 3,000
0,50 - 1,00 1 98.804,10 100,00 238 205 3,000 0,700 3,000 3,000,
,TOTALES 680 93.959.972,59 100 339 321 3,330 2,170 4,555,
93,,
