Information as of 25/01/2005,,,,,,,,,,
,AUDITED PORTFOLIO, TDA CAM 4 ISSUE
(Grouped by Reference Interest Rate)
-,,,,,,,,,
,,,,,,,,,,
,Min. Max.
WEIGHTED AVERAGE WEIGHTED AVERAGE WEIGHTED
TOTAL CURRENT CURRENT WEIGHTED AVERAGE CURRENT CURRENT
REFERENCE INDEX NUM INITIAL TERM REMAINING TERM AVERAGE CURRENT
BALANCE EUROS BALANCE % MARGIN INTEREST INTEREST
(months) (months) INTEREST RATE
RATE RATE,,,,,,,,,
,,,,,,,,,,
,IRPH,10.884 693.252.159,03 30,63 255 228 3,70 0,25 2,00 6,50,,,,,,,,
,0,00 - 0,50 8.026 518.593.653,83 74,81 263 235 3,60 0,15 2,25 5,00
0,50 - 1,00 2.765 170.809.993,15 24,64 232 206 3,98 0,54 2,00 6,50
1,00 - 1,50 86 3.634.136,66 0,52 241 204 4,45 1,02 3,50 5,00
1,50 - 2,00 7 214.375,39 0,03 216 146 4,87 1,50 4,00 5,00,,,,,,,,,
,EURIBOR,18.325 1.511.811.079,85 66,80 266 238 3,22 0,90 1,87 5,61,,,,,,,,
,0,00 - 0,50 290 26.892.700,86 1,78 247 223 2,82 0,49 2,51 2,95
0,50 - 1,00 7.931 742.862.964,61 49,14 269 242 3,06 0,74 2,16 4,70
1,00 - 1,50 9.479 702.205.507,30 46,45 263 236 3,37 1,05 1,87 4,50
1,50 - 2,00 599 37.669.990,04 2,49 259 230 3,85 1,51 2,75 4,50
2,00 - 2,50 19 1.534.267,41 0,10 218 198 4,24 2,00 3,90 4,50
2,50 - 3,00 4 462.381,87 0,03 252 239 4,31 2,50 4,00 4,91
3,00 - 3,50 3 183.267,76 0,01 264 243 5,45 3,12 5,30 5,61,,,,,,,,,
,MIBOR,1.360 58.077.015,46 2,57 236 154 3,33 0,98 2,50 4,50,,,,,,,,
,0,50 - 1,00 298 16.915.024,48 29,13 248 168 3,06 0,73 2,50 3,45
1,00 - 1,50 962 38.259.983,84 65,88 232 149 3,40 1,05 3,00 3,85,,,,,,,,,
,1,50 - 2,00 97,,2.815.741,28,4,85,228,141,3,86,1,51,3,50,4,00
,2,00 - 2,50 3,,86.265,86,0,15,210,131,4,37,2,00,4,00,4,50
,,,,,,,,,,
,TOTAL 30.569 2.263.140.254,34 100,00 262 233 3,37 0,70 1,87 6,50,,,,,,,,,
64,,,,,,,,,,
