FECHAS EURIBOR 3 mese BONO A BONO B BONO C BONO D BONO E
5-oct-05 2,183% 2,333% 2,533% 2,783% 4,183% 6,183%
4-oct-05 2,181% 2,331% 2,531% 2,781% 4,181% 6,181%
3-oct-05 2,178% 2,328% 2,528% 2,778% 4,178% 6,178%
30-sep-05 2,176% 2,326% 2,526% 2,776% 4,176% 6,176%
29-sep-05 2,170% 2,320% 2,520% 2,770% 4,170% 6,170%
28-sep-05 2,146% 2,296% 2,496% 2,746% 4,146% 6,146%
27-sep-05 2,144% 2,294% 2,494% 2,744% 4,144% 6,144%
26-sep-05 2,141% 2,291% 2,491% 2,741% 4,141% 6,141%
23-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
22-sep-05 2,135% 2,285% 2,485% 2,735% 4,135% 6,135%
21-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
20-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
19-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
16-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
15-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
14-sep-05 2,135% 2,285% 2,485% 2,735% 4,135% 6,135%
13-sep-05 2,136% 2,286% 2,486% 2,736% 4,136% 6,136%
12-sep-05 2,134% 2,284% 2,484% 2,734% 4,134% 6,134%
9-sep-05 2,134% 2,284% 2,484% 2,734% 4,134% 6,134%
8-sep-05 2,134% 2,284% 2,484% 2,734% 4,134% 6,134%
7-sep-05 2,134% 2,284% 2,484% 2,734% 4,134% 6,134%
6-sep-05 2,132% 2,282% 2,482% 2,732% 4,132% 6,132%
5-sep-05 2,131% 2,281% 2,481% 2,731% 4,131% 6,131%
2-sep-05 2,130% 2,280% 2,480% 2,730% 4,130% 6,130%
1-sep-05 2,133% 2,283% 2,483% 2,733% 4,133% 6,133%
