Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Fecha de Concesión,,
Saldo Nominal Vto Residual Vto Inicial
Año de Saldo Nominal Pendiente Tipo Actual Medio
Número Pendiente no Medio Pond Medio Pond
Concesion no Vencido Pond
Vencido % (meses) (meses),,
1994 1 62.046,35 0,00% 149,00 378,00 2,05
1997 2 91.768,48 0,01% 95,85 290,03 1,12
1998 9 565.053,67 0,04% 158,67 342,86 1,25
1999 19 1.036.390,04 0,07% 144,25 316,70 1,26
2000 57 2.044.281,28 0,14% 146,35 306,67 1,44
2001 90 3.846.223,41 0,26% 141,80 289,44 1,46
2002 198 9.358.458,67 0,64% 165,59 300,53 1,39
2003 355 20.580.992,73 1,40% 177,11 300,62 1,32
2004 361 26.064.318,98 1,77% 195,73 308,07 1,29
2005 433 36.233.486,35 2,46% 227,18 326,75 1,28
2006 1.338 147.770.989,17 10,05% 321,29 408,77 1,10
2007 1.843 228.303.850,81 15,53% 351,05 427,22 0,96
2008 1.706 210.400.650,81 14,31% 359,01 423,13 0,95
2009 2.035 273.014.941,98 18,57% 368,82 420,46 1,12
2010 2.920 402.285.646,29 27,37% 398,32 437,23 1,21
2011 649 86.595.777,24 5,89% 402,72 433,40 1,55
2012 160 19.405.480,42 1,32% 364,41 380,91 2,17
2013 21 2.330.330,93 0,16% 376,78 383,89 3,26,,
Total 12.197 1.469.990.687,61 100,00% 358 418 1,15,,
FECHA DE CONCESION
Más reciente 23/05/2013
Más antigua 27/09/1994,,
Antigüedad Media (Meses),59,41,
