Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Saldo Nominal Pendiente no Vencido,,,
Saldo Nominal Vto Residual Vto Inicial
Saldo Nominal Pendiente Saldo Nominal Tipo Actual
Número Pendiente no Medio Pond Medio Pond
no Vencido Pendiente no Vencido Medio Pond
Vencido % (meses) (meses),,,
[0 ‐ 60.000) 2.025 84.515.294 5,749% 220 307 1,28
[60.000 ‐ 80.000) 1.542 108.749.592 7,398% 283 352 1,22
[80.000 ‐ 100.000) 1.665 149.775.496 10,189% 331 393 1,18
[100.000 ‐ 120.000) 1.775 195.622.205 13,308% 357 416 1,16
[120.000 ‐ 140.000) 1.462 189.841.520 12,914% 375 432 1,14
[140.000 ‐ 160.000) 1.102 164.991.852 11,224% 381 437 1,13
[160.000 ‐ 180.000) 827 139.953.697 9,521% 390 446 1,13
[180.000 ‐ 200.000) 531 100.487.000 6,836% 396 450 1,12
[200.000 ‐ 250.000) 757 167.495.837 11,394% 392 447 1,11
[250.000 ‐ 300.000) 263 71.684.893 4,877% 377 437 1,09
[300.000 ‐ 350.000) 123 39.451.485 2,684% 385 443 1,06
[350.000 ‐ 400.000) 59 21.977.028 1,495% 384 440 1,08
[400.000 ‐ 450.000) 24 10.165.890 0,692% 377 440 1,08
[450.000 ‐ 500.000) 11 5.194.406 0,353% 344 399 1,16
[500.000 ‐ 1.000.000) 30 19.006.260 1,293% 368 423 1,09
[1.000.000 ‐ 5.000.000) 1 1.078.232 0,073% 433 469 1,10,,,
TOTAL 12.197 1.469.990.687,61 100,00% 358 418 1,15,,,
Saldo Nominal Pendiente no Vencido
Máximo 1.078.232,06,,,
Mínimo,36,99,,
Medio 120.520,68,,,
