Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Vencimiento Residual
Saldo Nominal Vto Residual Vto Inicial Tipo Actual
Vencimiento Residual Saldo Nominal
Número Pendiente no Medio Pond Medio Pond Medio
(meses) Pendiente no Vencido
Vencido % (meses) (meses) Pond
[0 ‐ 180) 1.403 81.476.288 5,54% 141,07 234,97 1,25
[180‐204) 654 50.432.040 3,43% 191,22 276,40 1,28
[204‐228) 461 40.418.001 2,75% 214,69 288,32 1,22
[228‐252) 498 48.794.083 3,32% 240,44 306,60 1,12
[252‐276) 725 77.967.795 5,30% 264,24 334,63 1,20
[276‐300) 853 92.644.941 6,30% 287,90 355,46 1,07
[300‐324) 868 105.993.353 7,21% 312,08 363,25 1,15
[324‐348) 693 90.743.280 6,17% 334,61 398,58 1,12
[348‐372) 819 110.919.494 7,55% 360,94 419,37 1,06
[372‐396) 1.076 148.853.354 10,13% 384,96 439,92 1,16
[396‐420) 1.151 169.528.820 11,53% 405,68 472,70 1,05
[420‐444) 1.064 164.970.520 11,22% 433,05 480,84 1,14
[444‐468) 724 109.906.818 7,48% 452,54 497,01 1,21
[468‐492) 590 87.217.627 5,93% 478,92 533,08 1,08
[492‐516) 602 87.928.279 5,98% 501,24 540,08 1,26
[516‐540) 16 2.195.994 0,15% 522,49 541,00 2,67
TOTAL 12.197 1.469.990.687,61 100,00% 358 418 1,15
Vencimiento más próximo 11/01/2014
Vencimiento más lejano 05/03/2058
