Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por 20 mayores Deudores,,
Saldo Nominal Vto Residual Vto Inicial
% Saldo (sobre Tipo Actual
Deudor Número Pendiente no Medio Pond Medio Pond
cartera total) * Medio Pond
Vencido (meses) (meses),,
Deudor 1 1 1.078.232,06 0,08% 433 469 1,10
Deudor 2 1 919.188,73 0,07% 398 481 1,34
Deudor 3 1 914.290,08 0,06% 345 421 0,88,,
Deudor 4 1,875.684,52,0,06% 386 421 1,08
Deudor 5 1 799.057,16 0,06% 305 361 1,26
Deudor 6 1 798.513,54 0,06% 324 361 1,59
Deudor 7 1 782.222,84 0,06% 324 361 1,14
Deudor 8 1 765.147,69 0,05% 402 433 1,09
Deudor 9 3 758.968,95 0,05% 345 421 1,10
Deudor 10 1 745.076,82 0,05% 253 289 1,10
Deudor 11 2 685.275,64 0,05% 243 350 1,11
Deudor 12 1 655.506,18 0,05% 230 301 0,88
Deudor 13 1 651.455,13 0,05% 327 385 0,81
Deudor 14 1 645.789,81 0,05% 338 421 0,90
Deudor 15 1 624.120,87 0,05% 418 481 0,84
Deudor 16 1 616.281,29 0,04% 387 421 1,03
Deudor 17 1 598.151,99 0,04% 286 361 0,86
Deudor 18 1 584.388,28 0,04% 411 481 0,86
Deudor 19 1 569.412,71 0,04% 369 445 0,78
Deudor 20 1 567.785,67 0,04% 446 505 0,88,,
TOTAL 23 14.634.549,96 1,04%,,
*Porcentaje sobre cartera total,,
