Datos a 25 de octubre de 2013
IM BCG RMBS 2
Distribución por Fecha de Vencimiento
Saldo Nominal Vto Residual Vto Inicial
Año de Saldo Nominal Pendiente Tipo Actual
Número Pendiente no Medio Pond Medio Pond
Vencimiento no Vencido Medio Pond
Vencido % (meses) (meses)
2014 5 17.360 0,00% 10 117 1,37
2015 15 115.326 0,01% 22 151 1,53
2016 20 238.697 0,02% 33 141 1,37
2017 23 492.346 0,03% 45 162 1,31
2018 42 1.258.502 0,09% 57 176 1,23
2019 46 2.325.315 0,16% 68 151 1,14
2020 57 2.110.539 0,14% 81 181 1,50
2021 79 3.365.856 0,23% 93 193 1,25
2022 105 5.645.203 0,38% 104 198 1,25
2023 113 6.265.739 0,43% 116 204 1,15
2024 106 7.018.397 0,48% 129 217 1,29
2025 142 8.339.132 0,57% 141 230 1,32
2026 162 11.376.446 0,77% 153 241 1,34
2027 233 15.647.153 1,06% 165 260 1,24
2028 359 24.645.986 1,68% 177 276 1,24
2029 339 26.495.703 1,80% 189 276 1,27
2030 308 24.523.209 1,67% 201 277 1,29
2031 219 18.841.658 1,28% 213 289 1,25
2032 208 19.101.371 1,30% 225 295 1,11
2033 217 21.005.304 1,43% 236 302 1,12
2034 288 29.536.483 2,01% 248 314 1,15
2035 375 41.021.777 2,79% 261 329 1,22
2036 394 41.391.449 2,82% 273 348 1,17
2037 418 44.234.121 3,01% 285 355 1,04
2038 408 46.538.205 3,17% 296 357 1,05
2039 454 56.691.245 3,86% 309 362 1,12
2040 482 58.428.019 3,97% 322 366 1,21
2041 314 40.876.337 2,78% 332 402 1,15
2042 316 42.111.274 2,86% 345 413 1,06
2043 374 49.978.591 3,40% 357 417 1,04
2044 455 63.840.170 4,34% 369 423 1,10
2045 509 70.537.881 4,80% 382 425 1,18
2046 697 97.298.379 6,62% 393 464 1,12
2047 614 90.981.961 6,19% 404 472 1,03
2048 413 62.397.650 4,24% 417 475 1,04
2049 476 73.655.765 5,01% 429 480 1,11
2050 722 112.131.098 7,63% 441 483 1,19
2051 279 41.694.543 2,84% 450 490 1,31
2052 313 46.784.575 3,18% 466 526 1,09
2053 294 41.901.306 2,85% 477 532 1,05
2054 278 43.274.547 2,94% 489 538 1,14
2055 387 56.296.723 3,83% 501 540 1,21
2056 129 18.157.634 1,24% 509 541 1,48
2057 7 948.123 0,06% 522 541 2,51
2058 3 453.591 0,03% 533 541 3,51
Total 12.197 1.469.990.687,61 100,00% 358 418 1,15
