Elaborado con datos a 14 de noviembre de 2006,,
,CARTERA AUDITADA DERECHOS DE CRÉDITO, EMISIÓN FTPYME TDA CAM 4
(División por Ratio Saldo Actual/Tasación Préstamos Hipotecarios con rango de primera hipoteca),
,,
,RATIO SALDO
VENCIMIENTO VENCIMIENTO
TIPO ACTUAL ACTUAL/
INICIAL RESIDUAL
RATIO SALDO SALDO ACTUAL SALDO PONDERADO TASACION Min. TIPO Máx. TIPO
NUM PONDERADO PONDERADO
ACTUAL/TASACION EUROS ACTUAL % POR SALDO PONDERADO ACTUAL ACTUAL
POR SALDO POR SALDO
ACTUAL POR SALDO
INICIAL (meses) ACTUAL (meses)
ACTUAL,
,0,00 - 10,00 316 10.377.650,78 0,98% 181 137 4,1 5,5 2,623 5,500
10,00 - 20,00 478 27.446.933,88 2,60% 147 108 4,0 16,2 2,720 7,200
20,00 - 30,00 818 71.578.096,79 6,78% 151 116 3,9 25,4 2,600 7,750
30,00 - 40,00 1018 89.606.812,24 8,49% 179 141 3,9 35,7 2,720 7,500
40,00 - 50,00 1371 151.153.876,54 14,33% 178 144 4,0 45,6 2,750 6,750
50,00 - 60,00 1501 180.822.567,43 17,14% 191 161 4,0 55,3 2,720 7,250
60,00 - 70,00 1576 238.412.175,81 22,59% 194 170 3,9 65,4 2,720 6,000
70,00 - 80,00 1071 162.527.572,80 15,40% 250 228 3,9 75,2 2,250 6,500
80,00 - 90,00 361 56.817.708,47 5,38% 267 247 3,9 84,7 2,700 5,015
90,00 - 100,00 180 34.071.674,35 3,23% 239 216 3,9 94,6 2,914 5,039
100,00 - 110,00 49 6.916.683,62 0,66% 266 244 4,0 105,2 3,000 4,765
110,00 - 120,00 25 3.481.447,78 0,33% 253 228 4,2 114,1 3,400 4,715
Superior a 120,00 116 21.953.064,12 2,08% 246 224 287,6 4,0 1,000 5,250,
,TOTAL 8880 1 .055.166.264,61 100,00 201 173 3,930 62,26 1,000 7,750,
87,,
