Cartera de préstamos hipotecarios al día 18.06.2013
Clasificación por principal pendiente,,,
Intervalo de principal
(en euros),Préstamos hipotecarios
Nº. %,Principal pendiente
(euros) %,
0,00 -24.999,99,326 12,81,5.579.594,41 2,36,
25.000,00 -49.999,99,458 18,00,16.909.212,03 7,15,
50.000,00 -74.999,99,355 13,95,22.213.435,52 9,39,
75.000,00 -99.999,99,368 14,46,32.043.091,52 13,55,
100.000,00 -124.999,99,360 14,15,40.200.394,04 17,00,
125.000,00 -149.999,99,253 9,94,34.649.986,93 14,65,
150.000,00 -174.999,99,181 7,11,29.202.947,93 12,35,
175.000,00 -199.999,99,99 3,89,18.398.345,01 7,78,
200.000,00 -224.999,99,42 1,65,8.947.101,52 3,78,
225.000,00 -249.999,99,36 1,41,8.450.543,78 3,57,
250.000,00 -274.999,99,24 0,94,6.237.997,67 2,64,
275.000,00 -299.999,99,22 0,86,6.277.154,76 2,65,
300.000,00 -324.999,99,6 0,24,1.866.207,72 0,79,
325.000,00 -349.999,99,8 0,31,2.703.987,55 1,14,
350.000,00 -374.999,99,2 0,08,729.989,94 0,31,
375.000,00 -399.999,99,3 0,12,1.163.201,61 0,49,
400.000,00 -424.999,99,1 0,04,416.239,09 0,18,
450.000,00 -474.999,99,1 0,04,466.309,49 0,20,
Total 2.545 100,00 236.455.740,52 100,00,,,
,Principal medio:,92.909,92,
,Principal mínimo:,1.970,09,
,Principal máximo:,466.309,49,
